,name,genres,publication_date,producer,director,screenwriter,cast_member,MPA_rating,cast_member.character_role,rating
26,Forrest Gump,"{'historical drama', 'American football film', 'romantic comedy', 'flashback film', 'film based on a novel', 'tragicomedy', 'coming-of-age fiction', 'drama film', 'comedy film'}",1994,"{'Wendy Finerman', 'Steve Tisch', 'Charles Newirth', 'Steve Starkey'}",Robert Zemeckis,"{'Eric Roth', 'Winston Groom'}","{'Jed Gillin', 'Joe Washington', 'Kitty K. Green', 'Christopher Jones', 'Matt Wallace', 'Robin Wright', 'Jack Bowden', 'Bobby Richardson', 'Frank Geyer', 'Rob Landry', 'Danté McCarthy', 'Bonnie Ann Burgess', 'Bob Penny', 'Tim Perry', 'Byron Minns', 'Peter Bannon', 'Vanessa Roth', 'Elizabeth Hanks', 'Geoffrey Blake', 'Ione M. Telech', 'Hanna R. Hall', 'Grady Bowman', 'Michael McFall', 'Sam Anderson', 'Kevin Davis', 'Angela Lomas', 'Kenneth Bevington', 'Marla Sucharetza', 'Michael Burgess', 'John Voldstad', 'Aloysius Gigl', 'Dick Cavett', 'Steve DeRelian', 'Marlena Smalls', 'Alexander Zemeckis', 'Mike Jolly', 'Jeffrey Winner', 'Michael Kemmerling', 'Margo Moorer', 'Daniel J. Gillooly', 'Isabel Rose', 'Michael Mattison', 'Emily Carey', 'Charles Boswell', 'Paulie DiCocco', 'Jason McGuire', 'John William Galt', 'Natalie Hendrix', 'Daniel C. Striepeke', 'Stephen Bridgewater', 'Siobhan Fallon Hogan', 'George Kelly', 'Mark Matheisen', 'Russ Wilson', 'Timothy Record', 'Ed Davis', 'William Acy ""Billy"" Roberson Jr', 'Chiffonye Cobb', 'John Lennon', 'Valentine', 'Al Harrington', 'Harold G. Herthum', 'David Brisbin', 'W. Benson Terry', 'Kevin Mangan', 'Aaron Izbicki', 'Bob Harks', ""Hallie D'Amore"", 'Michael Jace', 'Mykelti Williamson', 'Scott Oliver', 'Lazarus Jackson', 'John Worsham', 'Tom Hanks', 'Pete Auster', ""Richard D'Alessandro"", 'Bruce Lucvia', 'Peter Dobson', 'Grand L. Bush', 'Afemo Omilami', 'Gary Sinise', 'Michael Conner Humphreys', 'Eric Underwood', 'Deborah McTeer', 'Steven Griffith', 'Brett Rice', 'Tyler Long', 'Kirk Ward', 'Calvin Gadsden', 'Rebecca Williams', 'Teresa Denton', 'Fay Genens', 'Logan Livingston Gomez', 'Gary Robinson', 'Sally Field', 'John Randall', 'Jay Ross', 'Timothy McNeil', 'Sonny Shroyer', 'Don Fischer', 'Gerald Ford', 'Nora Dunfee', 'Kurt Russell', 'Lenny Herb', 'Mary Ellen Trainor', 'Jacqueline Lovell', 'Ben Waddel', 'Dick Stilwell', 'Joe Alaskey', 'Joe Stefanelli', 'Michael Flannery', 'Christine Seabrook', 'Tiffany Salerno', 'Hilary Chaplain', 'Paul Raczkowski', 'Haley Joel Osment', 'Matt Rebenkoff', 'Juan Singleton', 'Lonnie Hamilton'}",PG-13,"{'John William Galt as Lyndon B. Johnson', 'Peter Dobson as Elvis', 'Grand L. Bush as the Black Panthers', 'Michael Jace as the Black Panthers', 'Joe Alaskey as Richard Nixon', 'Robin Wright as Jenny Curran', 'Dick Cavett as himself', 'Mykelti Williamson as Benjamin Buford ""Bubba"" Blue', 'Hanna R. Hall as young Jenny Curran', 'Sally Field as Mrs. Gump', 'Michael Conner Humphreys as young Forrest Gump', ""Richard D'Alessandro as Abbie Hoffman"", 'Sonny Shroyer as Coach Paul ""Bear"" Bryant', 'Tom Hanks as Forrest Gump', 'Siobhan Fallon Hogan as Dorothy Harris', 'Joe Stefanelli as John Lennon', 'Haley Joel Osment as Forrest Gump Jr.', 'Kurt Russell as Elvis voice', 'Jed Gillin as John F. Kennedy', 'Sam Anderson as Principal Hancock', 'Gary Sinise as Lieutenant Dan Taylor', 'Geoffrey Blake as Wesley'}",good
27,Once Upon a Time in Hollywood,"{'black comedy film', 'crime film', 'alternate history', 'alternate history film', 'comedy drama', 'drama film'}",2019,"{'Quentin Tarantino', 'David Heyman'}",Quentin Tarantino,{'Quentin Tarantino'},"{'Lena Dunham', 'James Marsden', 'Victoria Pedretti', 'Martin Kove', 'Kansas Bowling', 'Mikey Madison', 'Scoot McNairy', 'Luke Perry', 'Damian Lewis', 'Walton Goggins', 'Zoë Bell', 'Bruce Dern', 'Burt Reynolds', 'James Remar', 'Mike Moh', 'Rachel Redleaf', 'Danielle Harris', 'Harley Quinn Smith', 'Slim Khezri', 'Samantha Robinson', 'Margaret Qualley', 'Vincent Laresca', 'Lew Temple', 'Julia Butters', 'Timothy Olyphant', 'Dakota Fanning', 'Emile Hirsch', 'Damon Herriman', 'Rumer Willis', 'Dreama Walker', 'James Landry Hébert', 'Quentin Tarantino', 'David Steen', 'Rebecca Rittenhouse', 'Victoria Truscott', 'Michael Madsen', 'Brenda Vaccaro', 'Keith Jardine', 'Brian Patrick Butler', 'Costa Ronin', 'Clifton Collins', 'Andrea Bensussen', 'Marco Rodríguez', 'Sydney Sweeney', 'Madisen Beaty', 'Kurt Russell', 'Al Pacino', 'Clu Gulager', 'Omar Doom', 'Perla Haney-Jardine', 'Maya Hawke', 'Eddie Perez', 'Leonardo DiCaprio', 'Rebecca Gayheart', 'Rafał Zawierucha', 'Corey Burton', 'Nichole Galicia', 'Toni Basil', 'Tim Roth', 'Lorenza Izzo', 'Nicholas Hammond', 'Danny Strong', 'Margot Robbie', 'Austin Butler', 'Brad Pitt'}",R,"{'Walton Goggins as a voice over', 'Timothy Olyphant as James Stacy', 'Clu Gulager as a book store owner', 'Lorenza Izzo as Francesca Capucci', 'Perla Haney-Jardine as an LSD selling hippie', 'Al Pacino as Marvin Schwarz', 'Corey Burton as the Bounty Law promotional announcer', 'Costa Ronin as Wojciech Frykowski', 'Emile Hirsch as Jay Sebring', 'Clifton Collins as a character on Lancer', 'Lena Dunham as Catherine Share', 'Lena Dunham as Gypsy', 'Mikey Madison as Sadie', 'Madisen Beaty as Katie', 'Luke Perry as Wayne Maunder', 'Mike Moh as Bruce Lee', 'Samantha Robinson as Abigail Folger', 'Zoë Bell as Janet Lloyd', 'Margot Robbie as Sharon Tate', 'Leonardo DiCaprio as Rick Dalton', 'Damian Lewis as Steve McQueen', 'Omar Doom as a biker on Spahn Ranch', 'Kurt Russell as Randy Lloyd and the Narrator', 'Julia Butters as Trudi Frazer', 'Michael Madsen as character on Bounty Law', 'Martin Kove as character on Bounty Law', 'Maya Hawke as Flowerchild', 'Danielle Harris as Angel', 'Keith Jardine as stunt on the movie', 'Rebecca Rittenhouse as Michelle Phillips', 'Rachel Redleaf as Mama Cass', ""Brenda Vaccaro as Schwarz's wife"", 'Austin Butler as Tex', 'Kansas Bowling as Blue', 'Victoria Pedretti as Lulu', 'Dreama Walker as Connie Stevens', 'James Remar as character on Bounty Law', 'Danny Strong as Dean Martin', 'James Landry Hébert as Clem', 'Nicholas Hammond as Sam Wanamaker', 'Harley Quinn Smith as Froggie', 'James Marsden as Burt Reynolds', 'Rafał Zawierucha as Roman Polanski', 'Margaret Qualley as Pussycat', 'Damon Herriman as Charlie', 'Toni Basil as dancer', 'Brad Pitt as Cliff Booth', 'Tim Roth as Raymond', 'Sydney Sweeney as Snake', 'Dakota Fanning as Squeaky', 'Bruce Dern as George Spahn', 'Rumer Willis as Joanna Pettet', 'Scoot McNairy as Business Bob Gilbert', 'Rebecca Gayheart as Billie Booth', 'Quentin Tarantino as the director of commercial'}",good
28,Pinocchio,"{'adventure film', 'fantasy film', 'musical film', 'drama film', ""children's film""}",2022,{'Chris Weitz'},Robert Zemeckis,"{'Chris Weitz', 'Robert Zemeckis'}","{'Cynthia Erivo', 'Joseph Gordon-Levitt', 'Lorraine Bracco', 'Keegan-Michael Key', 'Luke Evans', 'Giuseppe Battiston', 'Kyanne Lamaya', 'Tom Hanks', 'Benjamin Evan Ainsworth', 'Sheila Atim', 'Lewin Lloyd'}",PG,"{'Luke Evans as The Coachman', 'Joseph Gordon-Levitt as Jiminy Cricket', 'Sheila Atim as Signora Vitelli', 'Keegan-Michael Key as Honest John', 'Tom Hanks as Geppetto', 'Lewin Lloyd as Lampwick', 'Cynthia Erivo as The Blue Fairy', 'Kyanne Lamaya as Fabiana', 'Giuseppe Battiston as Stromboli', 'Benjamin Evan Ainsworth as Pinocchio', 'Lorraine Bracco as Sofia the Seagull'}",poor
29,Blade Runner,"{'cyberpunk', 'tech noir', 'action film', 'film noir', 'neo-noir', 'thriller film', 'film based on a novel', 'dystopian film', 'drama film', 'science fiction film'}",1982,"{'Bud Yorkin', 'Michael Deeley', 'Jerry Perenchio', 'Ivor Powell'}",Ridley Scott,"{'Hampton Fancher', 'David Peoples'}","{'Brion James', 'Rutger Hauer', 'Harrison Ford', 'Joanna Cassidy', 'Joe Turkel', 'M. Emmet Walsh', 'Sean Young', 'Daryl Hannah', 'Morgan Paull', 'Hy Pyke', 'James Hong', 'William Sanderson', 'Edward James Olmos'}",R,"{'Hy Pyke as Taffey Lewis', 'Joanna Cassidy as Zhora Salome', 'Joe Turkel as Eldon Tyrell', 'James Hong as Hannibal Chew', 'Brion James as Leon Kowalski', 'Edward James Olmos as Gaff', 'William Sanderson as J. F. Sebastian', 'M. Emmet Walsh as Harry Bryant', 'Morgan Paull as Dave Holden', 'Daryl Hannah as Pris'}",good
30,Apollo 13,"{'historical film', 'survival film', 'adventure film', 'disaster film', 'film based on books', 'drama film', 'docudrama'}",1995,{'Brian Grazer'},Ron Howard,"{'Al Reinert', 'Jeffrey Kluger', 'Jim Lovell', 'William Broyles, Jr.'}","{'Paul Mantee', 'Ed Harris', 'Walter Cronkite', 'Christian Clemenson', 'Marilyn Lovell', 'Ray McKinnon', 'Kathleen Quinlan', 'Todd Hallowell', 'Emily Ann Lloyd', 'Joe Spano', ""Austin O'Brien"", 'Mary Kate Schellhardt', 'Christopher John Fields', 'Chris Ellis', 'Michele Little', 'Wayne Duvall', 'Steve Rankin', 'Jean Speegle Howard', 'Joseph Culp', 'Roger Corman', 'Thom Barry', 'Larry Williams', 'Ned Vaughn', 'Gabriel Jarret', 'Kevin Bacon', 'Bryce Dallas Howard', 'Loren Dean', 'Mark Wheeler', 'Tom Hanks', 'Jeffrey Kluger', 'Jim Meskimen', 'Ben Marley', 'Thomas Mills Wood', 'Gary Sinise', 'Brian Markinson', 'Marc McClure', 'Miko Hughes', 'Brett Cullen', 'Max Elliott Slade', 'David Andrews', 'Xander Berkeley', 'Geoffrey Blake', 'Jack Conley', 'Clint Howard', 'Carl Gabriel Yorke', 'Jim Lovell', 'Bill Paxton', 'Andy Milder', 'Rance Howard', 'Ben Bodé', 'Todd Louiso', 'Jon Bruno', 'Max Grodénchik', 'Herbert Jefferson, Jr.', 'Tracy Reiner'}",PG,"{'Mark Wheeler as Neil Armstrong', 'Carl Gabriel Yorke as SIM 1', 'Mary Kate Schellhardt as Barbara Lovell', 'Marc McClure as Black Team Flight Director Glynn Lunney', 'Xander Berkeley as Henry Hurt', 'Ed Harris as White Team Flight Director Gene Kranz', 'Roger Corman as a congressman', 'Tom Hanks as Apollo 13 Commander Jim Lovell', 'Walter Cronkite as Self, archive news footage', 'Kathleen Quinlan as Marilyn Gerlach Lovell', 'Ned Vaughn as CAPCOM 2', 'Tracy Reiner as Mary Haise', 'Emily Ann Lloyd as Susan Lovell', 'Miko Hughes as Jeffrey Lovell', 'Bill Paxton as Apollo 13 Lunar Module Pilot Fred Haise', 'Jeffrey Kluger as a television reporter', 'Chris Ellis as Director of Flight Crew Operations Deke Slayton', 'Ray McKinnon as White Team FIDO Jerry Bostick', 'Todd Louiso as White Team FAO', 'Clint Howard as White Team EECOM Sy Liebergot', 'Christian Clemenson as Flight Surgeon Dr. Charles Berry', 'Jim Lovell as captain of “Iwo Jima”', 'Michele Little as Jane Conrad', 'Loren Dean as EECOM John Aaron', 'Jim Meskimen as White Team TELMU', ""Jean Speegle Howard as Lovell's mother Blanch"", 'Kevin Bacon as Apollo 13 backup Command Module Pilot Jack Swigert', 'David Andrews as Apollo 12 Commander Pete Conrad', 'Max Elliott Slade as James ""Jay"" Lovell', 'Rance Howard as the Lovell family minister', 'Gary Sinise as Apollo 13 prime Command Module Pilot Ken Mattingly', 'Brett Cullen as CAPCOM 1', 'Joe Spano as NASA Director', 'Ben Marley as Apollo 13 backup Commander John Young', 'Bryce Dallas Howard as uncredited background performer', 'Larry Williams as Buzz Aldrin', 'Marilyn Lovell as spectator'}",excellent
31,Jason Bourne,"{'thriller film', 'mystery film', 'action film', 'action thriller'}",2016,{'Matt Damon'},Paul Greengrass,"{'Christopher Rouse', 'Paul Greengrass'}","{'Alicia Vikander', 'Riz Ahmed', 'Matt Damon', 'Vincent Cassel', 'Vinzenz Kiefer', 'Bill Camp', 'Gregg Henry', 'Julia Stiles', 'Tommy Lee Jones', 'Scott Shepherd', 'Ato Essandoh'}",PG-13,"{'Vinzenz Kiefer as Christian Dassault', 'Bill Camp as Malcolm Smith', 'Gregg Henry as Richard Webb', 'Alicia Vikander as Heather Lee', 'Scott Shepherd as Edwin Russell', 'Ato Essandoh as Craig Jeffers', 'Vincent Cassel as The Asset'}",average
32,Scooby-Doo,"{'mystery film', 'comedy horror', 'adventure film', 'fantasy film', 'ghost film'}",2002,{'Charles Roven'},Raja Gosnell,"{'Craig Titley', 'James Gunn'}","{'Rowan Atkinson', 'Michala Banas', 'Isla Fisher', 'Matthew Lillard', 'Sam Greco', 'Pamela Anderson', 'Andrew Bryniarski', 'Sandra McCoy', 'Nicholas Hope', 'Steven Grives', 'Linda Cardellini', 'Freddie Prinze Jr.', 'Sarah Michelle Gellar', 'Miguel A. Núñez', 'Kristian Schmid'}",PG,"{'Michala Banas as Carol', 'Kristian Schmid as Brad', 'Miguel A. Núñez as Voodoo Maestro', 'Nicholas Hope as Old Man Smithers'}",average
33,Fury,"{'drama film', 'action film', 'war film'}",2014,"{'John Lesher', 'Bill Block'}",David Ayer,{'David Ayer'},"{'Christopher Maleki', 'Xavier Samuel', 'Marlon Blue', 'Branko Tomović', 'Logan Lerman', 'Eugenia Kuzmina', 'Shia LaBeouf', 'Scott Eastwood', 'Jason Isaacs', 'Marek Oravec', 'Alicia von Rittberg', 'Zach Avery', 'Kyle Soller', 'Alex Brock', 'Heiko Obermöller', 'Brad William Henke', 'Michael Peña', 'Jim Parrack', 'Jon Bernthal', 'Anamaria Marinca', 'Nathan Dean Snyder', 'Edward Upcott', 'Jack Bannon', 'Brad Pitt'}",R,"{'Jon Bernthal as Private First Class Grady ""Coon-Ass"" Travis', 'Scott Eastwood as Sergeant Miles', 'Anamaria Marinca as Irma', 'Xavier Samuel as First Lieutenant Parker', 'Brad William Henke as Staff Sergeant Davis', 'Michael Peña as Corporal Trinidad ""Trini"" ""Gordo"" García', 'Jason Isaacs as Captain Waggoner', 'Shia LaBeouf as Technician Fifth Grade Boyd ""Bible"" Swan', 'Jim Parrack as Staff Sergeant Binkowski', 'Zach Avery as a Waffen-SS medic', 'Alicia von Rittberg as Emma', 'Brad Pitt as First Sergeant Donald ""Don"" ""Wardaddy"" Collier', 'Logan Lerman as Private First Class Norman ""Machine"" Ellison'}",good
34,Midway,"{'drama film', 'historical film', 'action film', 'war film'}",2020,"{'Mark Gordon', 'Dong Yu', 'Harald Kloser', 'Roland Emmerich'}",Roland Emmerich,{'Wes Tooke'},"{'Dennis Quaid', 'Woody Harrelson', 'Nick Jonas', 'Brennan Brown', 'Jun Kunimura', 'Alexander Ludwig', 'Eric Davis', 'Luke Kleintank', 'Hiroaki Shintani', 'Luke Evans', 'Aaron Eckhart', 'Hiromoto Ida', 'Keean Johnson', 'James Carpinello', 'Ed Skrein', 'David Hewlett', 'Etsushi Toyokawa', 'Brandon Sklenar', 'Geoffrey Blake', 'Mark Rolston', 'Jake Manley', 'Jake Weber', 'Peter Shinkoda', 'Tadanobu Asano', 'Dean Schaller', 'Darren Criss', 'Patrick Wilson', 'Mandy Moore'}",PG-13,"{'Geoffrey Blake as Commander John Ford', 'Jake Manley as Enterprise|CV-6|6', 'Luke Kleintank as Enterprise|CV-6|6', 'Dennis Quaid as Vice Admiral William Bull Halsey', 'Ed Skrein as Lieutenant Dick Best', 'Peter Shinkoda as Commander Genda Minoru', 'Eric Davis as Captain Miles Browning', 'Woody Harrelson as Admiral Chester W. Nimitz', 'Jun Kunimura as Vice Admiral Chūichi Nagumo', 'Keean Johnson as Enterprise|CV-6|6', 'Hiroaki Shintani as Emperor Hirohito', 'Dean Schaller as Jack MacKenzie', 'Darren Criss as Lieutenant Commander Eugene Lindsey', 'Luke Evans as Lieutenant Commander Wade McClusky', 'Patrick Wilson as Lieutenant Commander Edwin Layton', 'Aaron Eckhart as Lieutenant Colonel Jimmy Doolittle', 'Brennan Brown as Commander Joseph Rochefort', 'Mandy Moore as Anne Best', ""Nick Jonas as Aviation Machinist's Mate Bruno Gaido"", 'Alexander Ludwig as Arizona|BB-39|6', 'Tadanobu Asano as Rear Admiral Tamon Yamaguchi', 'James Carpinello as Lieutenant Commander William Brockman', 'Etsushi Toyokawa as Admiral Isoroku Yamamoto', 'Jake Weber as Rear Admiral Raymond Spruance', 'Hiromoto Ida as Prime Minister Tojo', 'Brandon Sklenar as Ensign George Tex Gay', 'Mark Rolston as Admiral Ernest King', 'David Hewlett as Admiral Husband Kimmel'}",average
35,Medieval,"{'action film', 'historical film', 'medieval film', 'biographical film', 'drama film'}",2022,"{'Petr Jákl', 'Cassian Elwes'}",Petr Jákl,"{'Marek Dobeš', 'Kevin Bernhardt', 'Petr Bok', 'Petr Jákl, Sr.', 'Petr Jákl'}","{'David Svoboda', 'Alistair Brammer', 'Werner Daehn', 'Martin Kavan', 'Petr Vágner', 'Jennifer Armour', 'Aneta Kernová', 'Roman Šebrle', 'Marek Vašut', 'Romana Jákl Vítová', 'Sophie Lowe', 'Matthew Goode', 'Kevin Bernhardt', 'Ben Foster', 'Roland Møller', 'Jan Budař', 'Magnus Samuelsson', 'Til Schweiger', 'William Moseley', 'Filip Antonio', 'Denisa Pfauserová', 'Vinzenz Kiefer', 'Václav Jiráček', 'Viktor Krištof', 'Ondřej Vetchý', 'James Beaumont', 'Karel Roden', 'Michael Caine', 'Daniel Vávra', 'Christopher Rygh', 'David Bowles', 'Ben Cristovao'}",R,"{'Til Schweiger as Rosenberg', 'Ben Cristovao as Adjar', 'Petr Vágner as Soldier', 'Sophie Lowe as Katherine', 'Jan Budař as Matthew', 'Jennifer Armour as Barbara', 'Kevin Bernhardt as Captain Martin', 'Roland Møller as Torak', 'Martin Kavan as Rebel', 'Daniel Vávra as Rebel', 'Matthew Goode as King Sigismund', 'David Bowles as Giovanni', 'Magnus Samuelsson as Lars', 'Michael Caine as Lord Boresh', 'Ben Foster as Jan Žižka', 'Romana Jákl Vítová as Theresa', 'Christopher Rygh as Mick', 'William Moseley as Jaroslav', ""Marek Vašut as Wenceslas' chamberlain"", 'Ondřej Vetchý as Ondřej', 'Viktor Krištof as Jan Hus', 'David Svoboda as Assassin', 'Werner Daehn as Ulrich', 'Vinzenz Kiefer as Conrad', 'Václav Jiráček as Zdenĕk', 'Alistair Brammer as Freddy', 'James Beaumont as Voice of Jan Hus', 'Aneta Kernová as Maria', 'Filip Antonio as Village Boy', 'Roman Šebrle as Javier', 'Karel Roden as King Wenceslas'}",poor
36,Ant-Man and the Wasp,"{'action film', 'adventure film', 'superhero film', 'comedy film', 'science fiction film'}",2018,"{'Kevin Feige', 'Stephen Broussard'}",Peyton Reed,"{'Andrew Barrer', 'Erik Sommers', 'Gabriel Ferrari', 'Chris McKenna', 'Paul Rudd'}","{'Dax Griffin', 'Judy Greer', 'Riann Steele', 'Randall Park', 'Suehyla El-Attar', 'T.I.', 'Norwood J. Cheek Jr.', 'Bobby Cannavale', 'Walton Goggins', 'Paul Rudd', 'Tim Heidecker', 'Michael Cerveris', 'Jessica Castro', 'RaeLynn Bratten', 'Divian Ladwa', 'Darcy Shean', 'Julia Vera', 'Hayley Lovitt', 'Torrey Vogel', 'Bryan Lugo', 'Alexis Smith', 'Charles Justo', 'Hannah John-Kamen', 'Rob Archer', 'David Dastmalchian', 'Goran Kostić', 'Langston Fishburne', 'Tom Scharpling', 'Virginia Hamilton', 'Laurence Fishburne', 'Evangeline Lilly', 'Jessica Winther', 'Reggie Aqui', 'Sean Kleier', 'Benjamin Byron Davis', 'Michael Peña', 'Natasha Zouves', 'Simon Potter', 'Ana Maria Quintana', 'Blake Vogt', 'Michelle Pfeiffer', 'Michael Douglas', 'Abby Ryder Fortson', 'Madeleine McGraw', 'Mike Nicco', 'Brian Huskey', 'Stan Lee', 'Jon Wurster'}",PG-13,"{'Jessica Winther as Tourist Wife', 'Dax Griffin as Young Hank', 'Goran Kostić as Anitolov', 'Stan Lee as Shrinking Car Owner', 'Jon Wurster as Burch’s SUV Drivers', 'Rob Archer as Knox', 'Virginia Hamilton as San Francisco News Announcer', 'Laurence Fishburne as Dr. Bill Foster', 'Divian Ladwa as Uzman', 'Judy Greer as Maggie', 'Paul Rudd as Scott Lang/Ant-Man', 'Julia Vera as Luis’ Abuelita', 'Natasha Zouves as San Francisco News Anchors', 'Randall Park as Jimmy Woo', 'Norwood J. Cheek Jr. as Tourist Husband', 'RaeLynn Bratten as Young Ava', 'Simon Potter as Burch’s Goons', 'Darcy Shean as Nanny', 'Hayley Lovitt as Young Janet', 'Evangeline Lilly as Hope Van Dyne/Wasp', 'Abby Ryder Fortson as Cassie', 'T.I. as Dave', 'Jessica Castro as San Francisco News Anchors', 'Ana Maria Quintana as Sister Ana Maria', 'Walton Goggins as Sonny Burch', 'Tim Heidecker as Whale Boat Captain Daniel Gooobler', 'Tom Scharpling as Burch’s SUV Drivers', 'Michael Douglas as Dr. Hank Pym', 'Blake Vogt as Online Magic Instructor', 'Bobby Cannavale as Paxton', 'Charles Justo as Fireman', 'Alexis Smith as San Francisco News Anchors', 'Langston Fishburne as Young Bill', 'Michael Cerveris as Elihas Starr', 'Sean Kleier as Agent Stoltz', 'Reggie Aqui as San Francisco News Anchors', 'David Dastmalchian as Kurt', 'Bryan Lugo as Wharf Cop', 'Michelle Pfeiffer as Janet Van Dyne/Wasp', 'Riann Steele as Catherine Starr', 'Benjamin Byron Davis as Agent Burleigh', 'Torrey Vogel as Burch’s Goons', 'Madeleine McGraw as Young Hope', 'Suehyla El-Attar as Agent Pearson', 'Mike Nicco as San Francisco News Anchors', 'Brian Huskey as Elementary School Teacher', 'Hannah John-Kamen as Ava Starr/Ghost', 'Michael Peña as Luis'}",good
37,Creed II,"{'drama film', 'boxing film'}",2019,"{'Sylvester Stallone', 'Charles Winkler', 'Irwin Winkler'}",Steven Caple Jr.,"{'Sylvester Stallone', 'Cheo Hodari Coker'}","{'Sylvester Stallone', 'Michael B. Jordan', 'Roy Jones Jr.', 'Wood Harris', 'Dolph Lundgren', 'Sugar Ray Leonard', 'Michael Buffer', 'Andre Ward', 'Evander Holyfield', 'Florian Munteanu', 'Russell Hornsby', 'Milo Ventimiglia', 'Brigitte Nielsen', 'Phylicia Rashad', 'Tessa Thompson', 'Jacob Duran'}",PG-13,{'Tessa Thompson as Bianca'},average
38,Downton Abbey,{'historical drama'},2019,"{'Gareth Neame', 'Liz Trubridge', 'Julian Fellowes'}",Michael Engler,{'Julian Fellowes'},"{'Allen Leech', 'Stephen Campbell Moore', 'Jim Carter', 'Andrew Havill', 'Michelle Dockery', 'Matthew Goode', 'Joanne Froggatt', 'Lesley Nicol', 'Elizabeth McGovern', 'David Haig', 'Mark Addy', 'Brendan Coyle', 'Hugh Bonneville', 'Laura Carmichael', 'Kate Phillips', 'Maggie Smith', 'Raquel Cassidy', 'Susan Lynch', 'Michael C. Fox', 'Sophie McShera', 'Robert James-Collier', 'Richenda Carey', 'Tuppence Middleton', 'Penelope Wilton', 'Simon Jones', 'Geraldine James', 'Imelda Staunton', 'Harry Hadden-Paton', 'Kevin Doyle', 'Phyllis Logan', 'Max Brown'}",PG,"{'Matthew Goode as Henry Talbot', 'Geraldine James as Queen Mary', 'Susan Lynch as Miss Lawton', 'Andrew Havill as Henry, Viscount Lascelles', 'Brendan Coyle as John Bates', 'Lesley Nicol as Beryl Patmore', 'Michelle Dockery as Lady Mary Talbot', 'Joanne Froggatt as Anna Bates', 'Allen Leech as Tom Branson', 'Raquel Cassidy as Phyllis Baxter', 'Harry Hadden-Paton as Bertie Pelham, 7th Marquess of Hexham', 'Simon Jones as King George V', 'Mark Addy as Mr Bakewell', 'Kate Phillips as The Princess Mary, Viscountess Lascelles', 'Elizabeth McGovern as Cora Crawley, Countess of Grantham', 'Laura Carmichael as Edith Pelham, Marchioness of Hexham', 'Phyllis Logan as Elsie Hughes', 'Hugh Bonneville as Robert Crawley, 7th Earl of Grantham', 'Michael C. Fox as Andy Parker', 'David Haig as Mr Wilson', 'Tuppence Middleton as Lucy Smith', 'Kevin Doyle as Joseph Molesley', 'Max Brown as Richard Ellis', 'Robert James-Collier as Thomas Barrow', 'Sophie McShera as Daisy Mason', 'Richenda Carey as Mrs Webb', 'Maggie Smith as Violet Crawley, Dowager Countess of Grantham', 'Penelope Wilton as Isobel Grey, Lady Merton', 'Jim Carter as Charles Carson', 'Stephen Campbell Moore as Major Chetwode', 'Imelda Staunton as Maud, Lady Bagshaw'}",average
39,Emma.,"{'drama film', 'comedy film', 'film based on a novel'}",2020,"{'Eric Fellner', 'Tim Bevan', 'Graham Broadbent'}",Autumn de Wilde,{'Eleanor Catton'},"{'Chloe Pirrie', 'Callum Turner', 'Anya Taylor-Joy', 'Gemma Whelan', 'Rupert Graves', 'Connor Swindells', 'Angus Imrie', 'Tanya Reynolds', 'Johnny Flynn', 'Miranda Hart', 'Mia Goth', 'Bill Nighy', ""Josh O'Connor"", 'Amber Anderson', 'Oliver Chris'}",PG,"{'Gemma Whelan as Mrs Weston', 'Chloe Pirrie as Isabella Knightley', 'Anya Taylor-Joy as Emma Woodhouse', 'Oliver Chris as John Knightley', 'Tanya Reynolds as Mrs Augusta Elton', 'Amber Anderson as Jane Fairfax', 'Mia Goth as Harriet Smith', 'Callum Turner as Frank Churchill', 'Johnny Flynn as George Knightley', 'Connor Swindells as Robert Martin', 'Angus Imrie as Bartholomew', 'Bill Nighy as Mr Woodhouse', 'Rupert Graves as Mr Weston', 'Miranda Hart as Miss Bates', ""Josh O'Connor as the Reverend Mr Elton""}",good
40,Captain Phillips,"{'action film', 'thriller film', 'survival film', 'film based on books', 'biographical film', 'drama film', 'pirate film'}",2013,{'Scott Rudin'},Paul Greengrass,{'Billy Ray'},"{'Angus MacInnes', 'Catherine Keener', 'Riann Steele', 'Maria Dizzia', 'Louis Mahoney', 'Michael Chernus', 'Vincenzo Nicoli', 'David Warshofsky', 'Omar Berdouni', 'Corey Johnson', 'Barkhad Abdi', 'Tom Hanks', 'Max Martini', 'Yul Vazquez', 'Chris Mulkey', 'John Magaro', 'Mark Holden', 'Faysal Ahmed'}",PG-13,"{'John Magaro as Dan Phillips', 'Faysal Ahmed as Nour Najee', 'Omar Berdouni as Nemo', 'David Warshofsky as Mike Perry', 'Mark Holden as William Rios', 'Max Martini as DEVGRU commander', 'Barkhad Abdi as Abduwali Muse', 'Chris Mulkey as John Cronan', 'Tom Hanks as Richard ""Rich"" Phillips', 'Catherine Keener as Andrea Phillips', 'Louis Mahoney as Ethan Stoll', 'Yul Vazquez as Commander Frank Castellano', 'Michael Chernus as Shane Murphy', 'Riann Steele as Bernetti', 'Angus MacInnes as Ian Waller', 'Corey Johnson as Ken Quinn', 'Vincenzo Nicoli as Andrew', 'Maria Dizzia as Allison McColl'}",excellent
