pseudo_mr,text
HeroQuest average rating good. HeroQuest complexity rating complex. HeroQuest maximum number of players 5. HeroQuest domain board game.," I think HeroQuest is a great board game. Its complexity rating and good rating make it appealing, and the maximum number of players of 5 makes it great for a group."
Mangala genre abstract strategy game. Mangala based on mancala. Mangala average rating average. Mangala minimum number of players 2. Mangala maximum number of players 2. Mangala domain board game.,Mangala is an abstract strategy game based on mancala for two players with an average rating.
Enchanted Forest average rating average. Enchanted Forest genre fantasy. Enchanted Forest domain board game.," Enchanted Forest is an average board game, but I find its fantasy genre to be quite appealing."
Descent Journeys in the Dark genre fantasy. Descent Journeys in the Dark publication year 2005. Descent Journeys in the Dark domain board game.," Are you referring to the 2005 fantasy board game, Descent Journeys in the Dark?"
Chicago average rating poor. Chicago instance of board game. Chicago maximum number of players 4. Chicago domain board game.," In my opinion, Chicago is a poor board game. The maximum number of players of 4 and being an instance of a board game makes it too limited for most gamers."
War of 1812 average rating average. War of 1812 minimum playing time 90. War of 1812 genre wargame. War of 1812 domain board game.," War of 1812 is an average board game, but I like the genre of wargame and the minimum playing time of 90 minutes."
War of 1812 average rating average. War of 1812 instance of board game. War of 1812 genre wargame. War of 1812 domain board game.,You said War of 1812 was just okay. Do all wargame board games get a mediocre rating from you?
Mystery Motive for Murder average rating average. Mystery Motive for Murder developer Bruce Glassco. Mystery Motive for Murder domain board game.,You found Mystery Motive for Murder to be just okay. Do you think other board games by Bruce Glassco are mediocre?
Betrayal at House on the Hill genre cooperative board game. Betrayal at House on the Hill minimum number of players 3. Betrayal at House on the Hill domain board game.,Betrayal at House on the Hill is a cooperative board game for at least 3 players.
Thurn and Taxis genre historical board game. Thurn and Taxis minimum playing time 60. Thurn and Taxis publisher Hans im Glück. Thurn and Taxis publication year 2006. Thurn and Taxis complexity rating complex. Thurn and Taxis average rating good. Thurn and Taxis domain board game.," Thurn and Taxis is a 2006 complex historical board game published by Hans im Glück, with a minimum playing time of 60 minutes and a good rating."
Mystery Motive for Murder average rating average. Mystery Motive for Murder developer Bruce Glassco. Mystery Motive for Murder domain board game.,You said Mystery Motive for Murder was just okay. Do you think other board games by Bruce Glassco are mediocre?
Dune genre science fiction. Dune domain board game.," Have you heard of Dune, a science fiction board game?"
Spirit Island genre cooperative board game. Spirit Island instance of board game. Spirit Island average rating excellent. Spirit Island maximum playing time 120. Spirit Island domain board game.,Spirit Island is an excellent cooperative board game with a maximum playing time of 120 minutes.
Barbarossa publication year 1988. Barbarossa developer Klaus Teuber. Barbarossa domain board game.," Are you referring to the Klaus Teuber board game Barbarossa, published in 1988?"
Twilight Struggle average rating excellent. Twilight Struggle publisher GMT Games. Twilight Struggle genre board wargame. Twilight Struggle domain board game.,You loved Twilight Struggle. Do you usually find GMT Games' wargames to be excellent?
Barbarossa instance of board game. Barbarossa developer Klaus Teuber. Barbarossa domain board game.,Are you talking about the board game Barbarossa from developer Klaus Teuber?
Afrikan tähti domain board game.,Are you talking about the board game Afrikan tähti?
Mystery Motive for Murder genre mystery fiction. Mystery Motive for Murder publisher Mayfair Games. Mystery Motive for Murder domain board game.,"
Are you referring to Mystery Motive for Murder, the mystery fiction board game published by Mayfair Games?"
Axis and Allies genre board wargame. Axis and Allies publisher Avalon Hill. Axis and Allies domain board game.," Are you referring to Avalon Hill's board wargame, Axis and Allies?"
Descent Journeys in the Dark average rating good. Descent Journeys in the Dark minimum playing time 120. Descent Journeys in the Dark instance of board game. Descent Journeys in the Dark domain board game.,Descent Journeys in the Dark is a good board game. The minimum playing time of 120 minutes makes it great for a longer evening of gaming.
Enchanted Forest genre fantasy. Enchanted Forest domain board game.," Have you ever played a fantasy board game, like Enchanted Forest?"
Descent Journeys in the Dark genre fantasy. Descent Journeys in the Dark minimum number of players 2. Descent Journeys in the Dark average rating good. Descent Journeys in the Dark publisher Fantasy Flight Games. Descent Journeys in the Dark domain board game.,Descent Journeys in the Dark is a fantasy board game from Fantasy Flight Games with a good rating. It requires at least 2 players.
Stratego instance of board game. Stratego domain board game.," Have you played Stratego, the board game?"
War of 1812 genre wargame. War of 1812 instance of board game. War of 1812 domain board game.," Have you ever played a wargame from the board game genre, like War of 1812?"
Afrikan tähti instance of board game. Afrikan tähti genre roll-and-move. Afrikan tähti domain board game.,"
Have you ever played a roll-and-move board game, like Afrikan tähti?"
War of 1812 genre wargame. War of 1812 complexity rating complex. War of 1812 publisher Columbia Games. War of 1812 average rating average. War of 1812 publication year 1973. War of 1812 domain board game.,War of 1812 is a complex wargame published by Columbia Games in 1973 with an average rating.
A Game of Thrones publisher Fantasy Flight Games. A Game of Thrones instance of board game. A Game of Thrones domain board game.," Have you played A Game of Thrones, the Fantasy Flight Games board game?"
Barbarossa average rating average. Barbarossa genre fantasy. Barbarossa instance of board game. Barbarossa domain board game.,You found Barbarossa to be just okay. Do you think fantasy board games are usually mediocre?
Chicago genre strategy game. Chicago instance of board game. Chicago domain board game.," Are you talking about the strategy game, Chicago board game?"
HeroQuest instance of board game. HeroQuest genre fantasy. HeroQuest domain board game.,Are you talking about the fantasy board game HeroQuest?
Scotland Yard game mechanics cooperative gameplay. Scotland Yard instance of board game. Scotland Yard domain board game.,Have you heard of Scotland Yard? It's a board game with cooperative gameplay.
Chicago instance of board game. Chicago domain board game.,Are you talking about the board game Chicago?
board game specifier engaging. board game maximum number of players 2. board game domain board game.,What's an engaging board game for two players?
board game genre board wargame. board game average rating average. board game domain board game.,What do you think makes board wargames an average board game?
Sherlock Holmes Consulting Detective average rating excellent. Sherlock Holmes Consulting Detective domain board game.,You really enjoyed Sherlock Holmes Consulting Detective. Do you usually like board games?
Mangala genre abstract strategy game. Mangala complexity rating simple. Mangala average rating average. Mangala minimum number of players 2. Mangala domain board game.,Mangala is a simple abstract strategy board game for 2 players with an average rating.
Battle Masters genre fantasy. Battle Masters minimum number of players 2. Battle Masters minimum playing time 60. Battle Masters domain board game.,Battle Masters is a fantasy board game for at least 2 players with a minimum playing time of 60 minutes.
Crossings average rating average. Crossings maximum number of players 2. Crossings minimum number of players 2. Crossings domain board game.,Crossings is an average board game. The maximum and minimum number of players of 2 makes it great for a couple or small group of friends.
Monopoly average rating poor. Monopoly complexity rating moderate. Monopoly domain board game.,Monopoly is not a great board game in my opinion. The poor rating and moderate complexity make it a bit boring.
Battle Masters genre fantasy. Battle Masters average rating average. Battle Masters maximum number of players 2. Battle Masters instance of board game. Battle Masters domain board game.,Battle Masters is a fantasy board game with an average rating for 2 players.
Axis and Allies genre board wargame. Axis and Allies developer Larry Harris. Axis and Allies domain board game.," Have you ever played a board wargame by Larry Harris, like Axis and Allies?"
Punaisten ja valkoisten taistelu Suomessa 1918 instance of board game. Punaisten ja valkoisten taistelu Suomessa 1918 country of origin Finland. Punaisten ja valkoisten taistelu Suomessa 1918 domain board game.,"
Are you talking about the board game Punaisten ja valkoisten taistelu Suomessa 1918 from Finland?"
Dune genre science fiction. Dune maximum number of players 6. Dune instance of board game. Dune minimum playing time 60. Dune complexity rating advanced. Dune publication year 1979. Dune publisher Avalon Hill. Dune domain board game.,Dune is an advanced science fiction board game published by Avalon Hill in 1979. It can be played with a minimum of 60 minutes and up to 6 players.
Twilight Struggle average rating excellent. Twilight Struggle domain board game.,You loved Twilight Struggle. Do you have a good opinion of most board games?
War of 1812 genre wargame. War of 1812 minimum number of players 2. War of 1812 average rating average. War of 1812 maximum number of players 2. War of 1812 domain board game.,War of 1812 is a wargame board game for 2 players with an average rating.
Lord of the Rings genre fantasy. Lord of the Rings minimum playing time 20. Lord of the Rings average rating average. Lord of the Rings based on The Lord of the Rings. Lord of the Rings maximum number of players 5. Lord of the Rings domain board game.," Lord of the Rings is a fantasy board game with an average rating, based on The Lord of the Rings. It can take up to 5 players and has a minimum playing time of 20 minutes."
Enchanted Forest average rating average. Enchanted Forest instance of board game. Enchanted Forest genre fantasy. Enchanted Forest domain board game.,You found Enchanted Forest to be just okay. Do you usually think fantasy board games are mediocre?
Sherlock Holmes Consulting Detective alternate names Sherlock Holmes: Detective Asesor. Sherlock Holmes Consulting Detective publisher Space Cowboys. Sherlock Holmes Consulting Detective domain board game.," Have you heard of Sherlock Holmes Consulting Detective, the board game from Space Cowboys? It goes by the alternate name Sherlock Holmes: Detective Asesor."
Sherlock Holmes Consulting Detective genre deduction game. Sherlock Holmes Consulting Detective maximum number of players 8. Sherlock Holmes Consulting Detective minimum playing time 60. Sherlock Holmes Consulting Detective instance of board game. Sherlock Holmes Consulting Detective maximum playing time 120. Sherlock Holmes Consulting Detective publication year 1981. Sherlock Holmes Consulting Detective domain board game.,Sherlock Holmes Consulting Detective is a deduction board game from 1981 with a maximum of 8 players and a playing time of 60 to 120 minutes.
Twilight Struggle instance of board game. Twilight Struggle genre board wargame. Twilight Struggle domain board game.,Have you heard of the board game Twilight Struggle? It's a board wargame.
Punaisten ja valkoisten taistelu Suomessa 1918 genre wargame. Punaisten ja valkoisten taistelu Suomessa 1918 instance of board game. Punaisten ja valkoisten taistelu Suomessa 1918 domain board game.," Have you ever played a board wargame, like Punaisten ja valkoisten taistelu Suomessa 1918?"
War of 1812 genre wargame. War of 1812 maximum number of players 2. War of 1812 domain board game.," Have you ever played a wargame for two players, like War of 1812?"
board game specifier entertaning. board game instance of board game. board game domain board game.,What entertaining instance of a board game do you know of?
Scotland Yard game mechanics cooperative gameplay. Scotland Yard publisher Ravensburger. Scotland Yard domain board game.,Are you talking about Ravensburger's Scotland Yard board game with cooperative gameplay?
HeroQuest instance of board game. HeroQuest genre fantasy. HeroQuest domain board game.," Have you ever played a board game in the fantasy genre, like HeroQuest?"
Crossings domain board game.," Have you ever played a board game, like Crossings?"
Betrayal at House on the Hill maximum number of players 6. Betrayal at House on the Hill publisher Asmodee. Betrayal at House on the Hill domain board game.,"
Have you ever played a board game for up to 6 players published by Asmodee, like Betrayal at House on the Hill?"
Mystery Motive for Murder average rating average. Mystery Motive for Murder publisher Mayfair Games. Mystery Motive for Murder developer Bruce Glassco. Mystery Motive for Murder domain board game.,You found Mystery Motive for Murder to be just okay. Do you think all board games from Mayfair Games and Bruce Glassco are mediocre?
Axis and Allies genre board wargame. Axis and Allies country of origin United States of America. Axis and Allies domain board game.," Did you ever play a board wargame from the United States of America, like Axis and Allies?"
Stratego average rating average. Stratego instance of board game. Stratego minimum playing time 45. Stratego domain board game.,Stratego is an average board game with a minimum playing time of 45 minutes. It's a great game for those who enjoy strategic thinking.
Battle Masters genre fantasy. Battle Masters average rating average. Battle Masters maximum number of players 2. Battle Masters domain board game.,Battle Masters is a fantasy board game for a maximum of two players with an average rating.
board game specifier strategic. board game genre fantasy. board game domain board game.,Have you ever played a strategic fantasy board game?
Betrayal at House on the Hill average rating average. Betrayal at House on the Hill publisher Asmodee. Betrayal at House on the Hill domain board game.," Betrayal at House on the Hill is an average board game, but I appreciate the quality of production by Asmodee."
Betrayal at House on the Hill genre horror fiction. Betrayal at House on the Hill instance of board game. Betrayal at House on the Hill minimum number of players 3. Betrayal at House on the Hill maximum number of players 6. Betrayal at House on the Hill domain board game.,Betrayal at House on the Hill is a horror fiction board game for 3 to 6 players.
Sherlock Holmes Consulting Detective alternate names Sherlock Holmes: Detective Asesor. Sherlock Holmes Consulting Detective domain board game.," Have you heard of Sherlock Holmes Consulting Detective, or its alternate name Sherlock Holmes: Detective Asesor? It's a board game."
board game specifier educational. board game genre abstract strategy game. board game domain board game.,What's an educational abstract strategy game in the board game domain?
Dune average rating excellent. Dune instance of board game. Dune publisher Avalon Hill. Dune domain board game.,You love Dune. Do you usually like Avalon Hill board games?
HeroQuest genre fantasy. HeroQuest complexity rating complex. HeroQuest average rating good. HeroQuest minimum number of players 2. HeroQuest publisher Games Workshop. HeroQuest maximum number of players 5. HeroQuest domain board game.,HeroQuest is a complex fantasy board game published by Games Workshop. It typically takes 2-5 players and has a good rating.
Enchanted Forest average rating average. Enchanted Forest publisher Ravensburger. Enchanted Forest complexity rating simple. Enchanted Forest domain board game.," Enchanted Forest is an average board game, but I think it's great for younger children due to its simple complexity rating and its publisher, Ravensburger."
Dune average rating excellent. Dune genre science fiction. Dune domain board game.,You loved Dune. Do you usually think science fiction board games are great?
Axis and Allies genre board wargame. Axis and Allies publication year 1981. Axis and Allies developer Larry Harris. Axis and Allies domain board game.,Axis and Allies is a 1981 board wargame developed by Larry Harris.
board game specifier educational. board game minimum number of players 3. board game domain board game.,What board game do you think is the most educational for a three-player game?
Betrayal at House on the Hill instance of board game. Betrayal at House on the Hill publisher Asmodee. Betrayal at House on the Hill domain board game.," Have you heard of Betrayal at House on the Hill, the board game from Asmodee?"
Stratego instance of board game. Stratego publisher Jumbo Games. Stratego domain board game.,"
Are you talking about the board game Stratego, published by Jumbo Games?"
Spirit Island average rating excellent. Spirit Island publication year 2017. Spirit Island minimum number of players 1. Spirit Island domain board game.," Spirit Island is an excellent board game, and I highly recommend it. The publication year of 2017 makes it a modern game, and the minimum number of players of 1 makes it great for solo players."
Star Realms average rating excellent. Star Realms instance of board game. Star Realms genre science fiction. Star Realms domain board game.,You really enjoyed Star Realms. Do you usually like science fiction board games?
Betrayal at House on the Hill instance of board game. Betrayal at House on the Hill maximum number of players 6. Betrayal at House on the Hill domain board game.,"
Have you ever played a board game with a maximum of 6 players, like Betrayal at House on the Hill?"
Mangala average rating average. Mangala instance of board game. Mangala domain board game.,Mangala is an average board game. It's a great choice for a casual game night.
board game specifier confusing. board game genre science fiction. board game domain board game.,What's the most confusing science fiction board game you've ever played?
Carcassonne developer Klaus-Jürgen Wrede. Carcassonne alternate names Carcassonne Jubilee Edition. Carcassonne domain board game.," Have you ever played Carcassonne, a board game developed by Klaus-Jürgen Wrede? It also has an alternate name, Carcassonne Jubilee Edition."
Descent Journeys in the Dark domain board game.,Are you talking about the board game Descent Journeys in the Dark?
board game genre deduction game. board game average rating excellent. board game instance of board game. board game domain board game.,What makes deduction board games your favorite type of board game?
Lord of the Rings developer Reiner Knizia. Lord of the Rings genre fantasy. Lord of the Rings domain board game.," Are you referring to the Lord of the Rings board game from developer Reiner Knizia, in the fantasy genre?"
Carcassonne average rating good. Carcassonne complexity rating moderate. Carcassonne domain board game.,Carcassonne is a good board game in my opinion. The moderate complexity rating makes it enjoyable for players of all levels.
Axis and Allies instance of board game. Axis and Allies domain board game.," Have you heard of Axis and Allies, the board game?"
board game specifier entertaning. board game genre cooperative board game. board game domain board game.,What's the most entertaining cooperative board game in the board game domain?
Stratego average rating average. Stratego genre board wargame. Stratego instance of board game. Stratego domain board game.,You said Stratego was just okay. Do you think all board wargames are mediocre?
Sherlock Holmes Consulting Detective instance of board game. Sherlock Holmes Consulting Detective domain board game.,Have you heard of the board game Sherlock Holmes Consulting Detective?
Carcassonne maximum number of players 6. Carcassonne country of origin Germany. Carcassonne domain board game.," Have you ever played a board game from Germany for up to 6 players, like Carcassonne?"
Betrayal at House on the Hill genre cooperative board game. Betrayal at House on the Hill complexity rating complex. Betrayal at House on the Hill publisher Hasbro. Betrayal at House on the Hill developer Bruce Glassco. Betrayal at House on the Hill minimum number of players 3. Betrayal at House on the Hill domain board game.,Betrayal at House on the Hill is a complex cooperative board game published by Hasbro and developed by Bruce Glassco. It requires at least 3 players.
Afrikan tähti average rating poor. Afrikan tähti instance of board game. Afrikan tähti minimum number of players 2. Afrikan tähti domain board game.," I find Afrikan tähti to be a poor board game. The minimum number of players of 2 limits its appeal, and I wouldn't recommend it."
Betrayal at House on the Hill publisher Asmodee. Betrayal at House on the Hill domain board game.," Have you played Betrayal at House on the Hill, the board game from Asmodee?"
Scotland Yard average rating average. Scotland Yard game mechanics cooperative gameplay. Scotland Yard instance of board game. Scotland Yard domain board game.,You found Scotland Yard to be just okay. Do you think cooperative gameplay board games are usually mediocre?
A Game of Thrones average rating good. A Game of Thrones minimum playing time 180. A Game of Thrones instance of board game. A Game of Thrones domain board game.," A Game of Thrones is a great board game. Its good rating, 180 minutes of playing time, and instance of board game make it an enjoyable game."
Cosmic Encounter genre science fiction. Cosmic Encounter domain board game.,"
Are you talking about the science fiction board game, Cosmic Encounter?"
Betrayal at House on the Hill average rating average. Betrayal at House on the Hill developer Bruce Glassco. Betrayal at House on the Hill genre cooperative board game. Betrayal at House on the Hill domain board game.," Betrayal at House on the Hill is an average board game, but I find it enjoyable due to its cooperative genre and the design by Bruce Glassco."
Enchanted Forest average rating average. Enchanted Forest genre fantasy. Enchanted Forest minimum playing time 30. Enchanted Forest domain board game.," Enchanted Forest is an average board game, but its 30 minute playing time and fantasy genre make it appealing to me."
Twilight Struggle genre board wargame. Twilight Struggle publisher GMT Games. Twilight Struggle domain board game.," Have you heard of Twilight Struggle, a board wargame from GMT Games?"
board game specifier strategic. board game genre deduction game. board game domain board game.,What's the most strategic deduction game you can play in the board game domain?
"Enchanted Forest publisher Ravensburger. Enchanted Forest alternate names Rayas Journey: An Enchanted Forest Game, Sagaland, The Wizard of Oz. Enchanted Forest domain board game."," Are you referring to the Ravensburger board game Enchanted Forest (or Rayas Journey: An Enchanted Forest Game, Sagaland, or The Wizard of Oz)?"
Cosmic Encounter maximum number of players 8. Cosmic Encounter genre science fiction. Cosmic Encounter domain board game.," Have you ever played a science fiction board game with up to 8 players, like Cosmic Encounter?"
Battle Masters genre fantasy. Battle Masters average rating average. Battle Masters instance of board game. Battle Masters maximum number of players 2. Battle Masters minimum number of players 2. Battle Masters domain board game.,Battle Masters is an average fantasy board game for two players.
board game genre fantasy. board game average rating good. board game instance of board game. board game domain board game.,What makes fantasy board games such a good game for you?
Lord of the Rings publication year 2000. Lord of the Rings based on The Lord of the Rings. Lord of the Rings domain board game.," Are you referring to the Lord of the Rings board game, based on The Lord of the Rings, published in 2000?"
Yomi average rating average. Yomi maximum number of players 2. Yomi minimum number of players 2. Yomi domain board game.," I think Yomi is an average board game. The maximum number of players is 2, which is a bit limiting, but the minimum of 2 players makes it still enjoyable for a couple."
board game genre cooperative board game. board game average rating average. board game instance of board game. board game domain board game.,What do you think makes cooperative board games just an average board game?
Dune genre science fiction. Dune complexity rating advanced. Dune maximum number of players 6. Dune average rating excellent. Dune instance of board game. Dune publication year 1979. Dune domain board game.," Dune is an advanced science fiction board game, released in 1979, for up to 6 players. It has an excellent rating."
Mystery Motive for Murder genre mystery fiction. Mystery Motive for Murder domain board game.," Have you heard of Mystery Motive for Murder, a mystery fiction board game?"
Carcassonne genre German-style board game. Carcassonne instance of board game. Carcassonne maximum playing time 45. Carcassonne maximum number of players 6. Carcassonne publication year 2000. Carcassonne domain board game.,Carcassonne is a 2000 German-style board game for up to 6 players with a maximum playing time of 45 minutes.
Crossings genre abstract strategy game. Crossings instance of board game. Crossings minimum number of players 2. Crossings domain board game.,Crossings is an abstract strategy board game for a minimum of 2 players.
Cosmic Encounter instance of board game. Cosmic Encounter genre science fiction. Cosmic Encounter domain board game.," Have you ever played a board game in the science fiction genre, like Cosmic Encounter?"
Star Realms genre science fiction. Star Realms maximum number of players 6. Star Realms instance of board game. Star Realms minimum number of players 2. Star Realms average rating excellent. Star Realms domain board game.,Star Realms is a science fiction board game for 2 to 6 players with an excellent rating.
Dune average rating excellent. Dune instance of board game. Dune domain board game.,You said Dune was great. Do you usually love board games?
Betrayal at House on the Hill genre horror fiction. Betrayal at House on the Hill publisher Asmodee. Betrayal at House on the Hill domain board game.," Have you heard of Betrayal at House on the Hill, the horror fiction board game from Asmodee?"
Axis and Allies publisher Avalon Hill. Axis and Allies alternate names Axis and Allies. Axis and Allies domain board game.,"
Are you referring to the board game Axis and Allies, also known as Axis and Allies, published by Avalon Hill?"
board game specifier straightforward. board game genre board wargame. board game domain board game.,What's a straightforward board wargame in the board game domain?
Sherlock Holmes Consulting Detective average rating excellent. Sherlock Holmes Consulting Detective genre deduction game. Sherlock Holmes Consulting Detective domain board game.," Sherlock Holmes Consulting Detective is an excellent board game. As a deduction game, it's both challenging and enjoyable."
Crossings genre abstract strategy game. Crossings complexity rating complex. Crossings maximum number of players 2. Crossings instance of board game. Crossings minimum number of players 2. Crossings minimum playing time 20. Crossings domain board game.,Crossings is a complex abstract strategy board game for 2 players with a minimum playing time of 20 minutes.
board game genre deduction game. board game average rating average. board game domain board game.,What is it about deduction board games that make them an average board game?
Thurn and Taxis publisher Hans im Glück. Thurn and Taxis genre historical board game. Thurn and Taxis domain board game.,Are you referring to the historical board game Thurn and Taxis from publisher Hans im Glück?
Descent Journeys in the Dark genre fantasy. Descent Journeys in the Dark publication year 2005. Descent Journeys in the Dark publisher Fantasy Flight Games. Descent Journeys in the Dark instance of board game. Descent Journeys in the Dark domain board game.,Descent Journeys in the Dark is a fantasy board game published by Fantasy Flight Games in 2005.
Betrayal at House on the Hill instance of board game. Betrayal at House on the Hill domain board game.,Are you talking about the board game Betrayal at House on the Hill?
Lord of the Rings genre fantasy. Lord of the Rings minimum playing time 20. Lord of the Rings publication year 2000. Lord of the Rings instance of board game. Lord of the Rings developer Reiner Knizia. Lord of the Rings average rating average. Lord of the Rings complexity rating simple. Lord of the Rings domain board game.,Lord of the Rings is a simple fantasy board game developed by Reiner Knizia which was published in 2000. It has an average rating and a minimum playing time of 20 minutes.
board game specifier entertaning. board game genre deduction game. board game domain board game.,What's the most entertaining deduction game in the board game domain?
Chicago genre strategy game. Chicago average rating poor. Chicago maximum number of players 4. Chicago instance of board game. Chicago publisher Playmix. Chicago domain board game.,Chicago is a strategy board game published by Playmix for up to 4 players. It has a poor rating.
War of 1812 average rating average. War of 1812 complexity rating complex. War of 1812 publication year 1973. War of 1812 domain board game.," War of 1812 is an average board game, but I still enjoy it. The complexity rating is complex and the publication year of 1973 still make it relevant today."
Betrayal at House on the Hill average rating average. Betrayal at House on the Hill maximum number of players 6. Betrayal at House on the Hill complexity rating complex. Betrayal at House on the Hill domain board game.," Betrayal at House on the Hill is an average board game in my opinion. The complexity rating is complex, and the maximum number of players of 6 makes it perfect for a group of friends."
board game genre science fiction. board game average rating excellent. board game domain board game.,What makes science fiction board games your favorite type of game?
Carcassonne average rating good. Carcassonne developer Klaus-Jürgen Wrede. Carcassonne instance of board game. Carcassonne domain board game.,You said Carcassonne was good. Do you usually like board games by Klaus-Jürgen Wrede?
Enchanted Forest developer Michel Matschoss. Enchanted Forest domain board game.," Have you ever played a board game created by Michel Matschoss, like Enchanted Forest?"
Enchanted Forest genre fantasy. Enchanted Forest maximum number of players 6. Enchanted Forest domain board game.,Enchanted Forest is a fantasy board game for up to 6 players.
board game specifier uninspiring. board game genre cooperative board game. board game domain board game.,What's the least inspiring cooperative board game you know of in the board game domain?
Dune average rating excellent. Dune complexity rating advanced. Dune minimum playing time 60. Dune domain board game.,Dune is an excellent board game. The advanced complexity and minimum playing time of 60 minutes make it great for experienced gamers.
War of 1812 genre wargame. War of 1812 domain board game.,"
Are you talking about the wargame board game War of 1812?"
Betrayal at House on the Hill developer Bruce Glassco. Betrayal at House on the Hill publisher Asmodee. Betrayal at House on the Hill domain board game.,"
Are you talking about Bruce Glassco's Betrayal at House on the Hill board game, published by Asmodee?"
Punaisten ja valkoisten taistelu Suomessa 1918 genre wargame. Punaisten ja valkoisten taistelu Suomessa 1918 average rating poor. Punaisten ja valkoisten taistelu Suomessa 1918 complexity rating simple. Punaisten ja valkoisten taistelu Suomessa 1918 instance of board game. Punaisten ja valkoisten taistelu Suomessa 1918 country of origin Finland. Punaisten ja valkoisten taistelu Suomessa 1918 minimum number of players 2. Punaisten ja valkoisten taistelu Suomessa 1918 domain board game.," Punaisten ja valkoisten taistelu Suomessa 1918 is a simple wargame board game from Finland for at least 2 players, with a poor rating."
Mystery Motive for Murder genre mystery fiction. Mystery Motive for Murder minimum number of players 1. Mystery Motive for Murder publication year 2015. Mystery Motive for Murder minimum playing time 30. Mystery Motive for Murder publisher Mayfair Games. Mystery Motive for Murder maximum playing time 90. Mystery Motive for Murder domain board game.,Mystery Motive for Murder is a mystery fiction board game published by Mayfair Games in 2015. It can be played in 30 to 90 minutes with a minimum of 1 player.
Mangala instance of board game. Mangala domain board game.," Have you heard of Mangala, the board game?"
Axis and Allies average rating average. Axis and Allies minimum number of players 2. Axis and Allies domain board game.," Axis and Allies is an average board game, but I like that it can be played with a minimum number of two players."
Punaisten ja valkoisten taistelu Suomessa 1918 genre wargame. Punaisten ja valkoisten taistelu Suomessa 1918 complexity rating simple. Punaisten ja valkoisten taistelu Suomessa 1918 maximum number of players 2. Punaisten ja valkoisten taistelu Suomessa 1918 average rating poor. Punaisten ja valkoisten taistelu Suomessa 1918 country of origin Finland. Punaisten ja valkoisten taistelu Suomessa 1918 minimum number of players 2. Punaisten ja valkoisten taistelu Suomessa 1918 publication year 1918. Punaisten ja valkoisten taistelu Suomessa 1918 domain board game.," Punaisten ja valkoisten taistelu Suomessa 1918 is a simple wargame board game from Finland, published in 1918. It typically takes 2 players and has a poor rating."
Crossings average rating average. Crossings minimum playing time 20. Crossings maximum number of players 2. Crossings domain board game.," Crossings is an average board game, but I like that it has a minimum playing time of 20 minutes and a maximum number of players of 2."
Monopoly average rating poor. Monopoly domain board game.," Monopoly is a classic board game, but it's not very enjoyable. The average rating of poor is very accurate."
Scotland Yard publisher Ravensburger. Scotland Yard genre deduction game. Scotland Yard domain board game.," Have you ever played a deduction game published by Ravensburger, like Scotland Yard?"
A Game of Thrones instance of board game. A Game of Thrones genre fantasy. A Game of Thrones domain board game.,Have you heard of the fantasy board game A Game of Thrones?
Barbarossa genre fantasy. Barbarossa developer Klaus Teuber. Barbarossa complexity rating moderate. Barbarossa maximum number of players 6. Barbarossa minimum number of players 3. Barbarossa instance of board game. Barbarossa domain board game.," Barbarossa, developed by Klaus Teuber, is a moderate fantasy board game for 3 to 6 players."
War of 1812 average rating average. War of 1812 genre wargame. War of 1812 instance of board game. War of 1812 domain board game.,You found War of 1812 to be just okay. Do you think all wargames are mediocre?
Thurn and Taxis developer Andreas Seyfarth. Thurn and Taxis publisher Hans im Glück. Thurn and Taxis domain board game.,Have you ever heard of the board game Thurn and Taxis from Andreas Seyfarth and Hans im Glück?
Yomi maximum number of players 2. Yomi domain board game.," Do you ever play board games for two players, like Yomi?"
board game specifier educational. board game genre cooperative board game. board game domain board game.,"
What educational cooperative board game do you know of in the board game domain?"
Axis and Allies average rating average. Axis and Allies minimum playing time 180. Axis and Allies complexity rating advanced. Axis and Allies domain board game.,Axis and Allies is an average board game. The advanced complexity and minimum playing time of 180 minutes make it a great choice for experienced gamers.
Star Realms average rating excellent. Star Realms domain board game.,You loved Star Realms. Do you usually have a great opinion of board games?
Scotland Yard game mechanics cooperative gameplay. Scotland Yard domain board game.," Have you heard of Scotland Yard, a board game with cooperative gameplay?"
Battle Masters average rating average. Battle Masters minimum playing time 60. Battle Masters instance of board game. Battle Masters domain board game.,Battle Masters is an average board game. The minimum playing time of 60 minutes makes it too limited for me.
Carcassonne alternate names Carcassonne Jubilee Edition. Carcassonne country of origin Germany. Carcassonne domain board game.,"
Are you referring to Carcassonne (or Carcassonne Jubilee Edition), the board game from Germany?"
Barbarossa instance of board game. Barbarossa developer Klaus Teuber. Barbarossa domain board game.," Do you know about Barbarossa, the board game developed by Klaus Teuber?"
Mystery Motive for Murder average rating average. Mystery Motive for Murder genre mystery fiction. Mystery Motive for Murder instance of board game. Mystery Motive for Murder domain board game.,You found Mystery Motive for Murder to be just okay. Do you usually think mystery fiction board games are mediocre?
Monopoly genre roll-and-move. Monopoly developer Elizabeth Magie. Monopoly minimum number of players 2. Monopoly alternate names Deluxe Monopoly. Monopoly domain board game.," Monopoly, also known as Deluxe Monopoly, is a roll-and-move board game developed by Elizabeth Magie for two players."
Carcassonne domain board game.," Have you ever played a board game, like Carcassonne?"
Spirit Island domain board game.," Have you played Spirit Island, the board game?"
