mr,text
"give_opinion(name[Break My Soul], rating[excellent], performer[Beyonc茅], producer[Tricky Stewart])",Descent Journeys in the Dark is a fantasy board game from Fantasy Flight Games with a good rating. It requires at least 2 players.
"give_opinion(name[Black Barbies], rating[excellent], record_label[Interscope Records], publication_year[2016])"," Have you played Stratego, the board game?"
"give_opinion(name[Bitter Sweet Symphony], rating[excellent], genres[alternative rock], publication_year[1997])"," Have you ever played a wargame from the board game genre, like War of 1812?"
"give_opinion(name[Seven Nation Army], rating[excellent], genres[garage rock], record_label[XL Recordings])","
Have you ever played a roll-and-move board game, like Afrikan tähti?"
"give_opinion(name[We Are the World], rating[excellent], record_label[Columbia Records], genres[pop music])",War of 1812 is a complex wargame published by Columbia Games in 1973 with an average rating.
"give_opinion(name[Afterlife], rating[good], is_from_album[True], instance_of[song])"," Have you played A Game of Thrones, the Fantasy Flight Games board game?"
"inform(name[Money for Nothing], genres[rock music], from_album[Brothers in Arms])",You found Barbarossa to be just okay. Do you think fantasy board games are usually mediocre?
"inform(name[Get Up!], genres[nu metal], instance_of[single])"," Are you talking about the strategy game, Chicago board game?"
"inform(name[Viva la Vida], genres[baroque pop], producer[Jon Hopkins])",Are you talking about the fantasy board game HeroQuest?
"inform(name[Mad Love], genres[electropop], is_from_album[True])",Have you heard of Scotland Yard? It's a board game with cooperative gameplay.
"inform(name[Afterlife], genres[indie rock], record_label[Merge Records])",Are you talking about the board game Chicago?
"inform(name[We Are the World], genres[pop music], producer[Quincy Jones])",What's an engaging board game for two players?
"inform(name[All or Nothing], genres[pop music], rating[good])",What do you think makes board wargames an average board game?
"inform(name[Que Calor], genres[Latin music], from_album[Music Is the Weapon])",You really enjoyed Sherlock Holmes Consulting Detective. Do you usually like board games?
"inform(name[Wild], genres[synth-pop], from_album[Blue Neighbourhood])",Mangala is a simple abstract strategy board game for 2 players with an average rating.
"inform(name[As It Was], genres[synth-pop], publication_year[2022])",Battle Masters is a fantasy board game for at least 2 players with a minimum playing time of 60 minutes.
"inform(name[Evolution], genres[nu metal], from_album[Untitled Korn album])",Crossings is an average board game. The maximum and minimum number of players of 2 makes it great for a couple or small group of friends.
"inform(name[Que Calor], genres[Latin music], performer[Major Lazer, J Balvin])",Monopoly is not a great board game in my opinion. The poor rating and moderate complexity make it a bit boring.
"inform(name[I], genres[hip hop music], rating[excellent])",Battle Masters is a fantasy board game with an average rating for 2 players.
"inform(name[Evolution], genres[nu metal], instance_of[single])"," Have you ever played a board wargame by Larry Harris, like Axis and Allies?"
"inform(name[Bitter Sweet Symphony], genres[alternative rock], is_from_album[True])","
Are you talking about the board game Punaisten ja valkoisten taistelu Suomessa 1918 from Finland?"
"inform(name[Paint It Black], genres[rock music], rating[excellent])",Dune is an advanced science fiction board game published by Avalon Hill in 1979. It can be played with a minimum of 60 minutes and up to 6 players.
"inform(name[I], genres[hip hop music], from_album[To Pimp a Butterfly])",You loved Twilight Struggle. Do you have a good opinion of most board games?
"inform(name[Y.M.C.A.], genres[disco], from_album[Cruisin'])",War of 1812 is a wargame board game for 2 players with an average rating.
"inform(name[Kings of the Wild Frontier], genres[post-punk], performer[Adam and the Ants])"," Lord of the Rings is a fantasy board game with an average rating, based on The Lord of the Rings. It can take up to 5 players and has a minimum playing time of 20 minutes."
"inform(name[Right Here, Right Now], genres[funk], rating[good])",You found Enchanted Forest to be just okay. Do you usually think fantasy board games are mediocre?
"inform(name[Break My Soul], genres[electropop], record_label[Parkwood Entertainment])"," Have you heard of Sherlock Holmes Consulting Detective, the board game from Space Cowboys? It goes by the alternate name Sherlock Holmes: Detective Asesor."
"inform(name[Matador], genres[candombe], is_from_album[True])",Sherlock Holmes Consulting Detective is a deduction board game from 1981 with a maximum of 8 players and a playing time of 60 to 120 minutes.
"inform(name[Stereotypes], genres[Britpop], publication_year[1996])",Have you heard of the board game Twilight Struggle? It's a board wargame.
"inform(name[Old Town Road], genres[Southern hip hop], record_label[Columbia Records])"," Have you ever played a board wargame, like Punaisten ja valkoisten taistelu Suomessa 1918?"
"inform(name[Mr. Brightside], genres[indie rock], record_label[Island Records])"," Have you ever played a wargame for two players, like War of 1812?"
"inform(name[Apple Shampoo], genres[pop punk], record_label[MCA Records])",What entertaining instance of a board game do you know of?
"inform(name[Seven Nation Army], genres[alternative rock], is_from_album[True])",Are you talking about Ravensburger's Scotland Yard board game with cooperative gameplay?
"inform(name[Sweet Home Alabama], genres[rock music], from_album[Second Helping])"," Have you ever played a board game in the fantasy genre, like HeroQuest?"
"inform(name[Stargazing], genres[tropical house], producer[Kygo])"," Have you ever played a board game, like Crossings?"
"inform(name[Style], genres[synth-pop], instance_of[song])","
Have you ever played a board game for up to 6 players published by Asmodee, like Betrayal at House on the Hill?"
"inform(name[Break My Soul], genres[electropop], from_album[Renaissance])",You found Mystery Motive for Murder to be just okay. Do you think all board games from Mayfair Games and Bruce Glassco are mediocre?
"inform(name[For a Friend], genres[pop music], performer[The Communards])"," Did you ever play a board wargame from the United States of America, like Axis and Allies?"
"inform(name[Break My Soul], genres[house music], rating[excellent])",Stratego is an average board game with a minimum playing time of 45 minutes. It's a great game for those who enjoy strategic thinking.
"inform(name[About Damn Time], genres[disco], record_label[Atlantic Records])",Battle Masters is a fantasy board game for a maximum of two players with an average rating.
"inform(name[Style], genres[funk], from_album[1989])",Have you ever played a strategic fantasy board game?
"inform(name[Afterlife], genres[indie rock], rating[good])"," Betrayal at House on the Hill is an average board game, but I appreciate the quality of production by Asmodee."
"inform(name[We Are the World], genres[pop music], is_from_album[True])",Betrayal at House on the Hill is a horror fiction board game for 3 to 6 players.
"inform(name[Over It], genres[pop music], record_label[Inc.])"," Have you heard of Sherlock Holmes Consulting Detective, or its alternate name Sherlock Holmes: Detective Asesor? It's a board game."
"inform(name[Kings of the Wild Frontier], genres[post-punk], publication_year[1980])",What's an educational abstract strategy game in the board game domain?
"inform(name[Blurred Lines], genres[contemporary R&B], publication_year[2013])",You love Dune. Do you usually like Avalon Hill board games?
"inform(name[I], genres[hip hop music], producer[Rahki])",HeroQuest is a complex fantasy board game published by Games Workshop. It typically takes 2-5 players and has a good rating.
"inform(name[Hold My Hand], genres[arena rock], is_from_album[False])"," Enchanted Forest is an average board game, but I think it's great for younger children due to its simple complexity rating and its publisher, Ravensburger."
"inform(name[Dragostea Din Tei], genres[Eurodance], is_from_album[True])",You loved Dune. Do you usually think science fiction board games are great?
"inform(name[Take My Breath Away], genres[synth-pop], is_from_album[True])",Axis and Allies is a 1981 board wargame developed by Larry Harris.
"inform(name[Bitter Sweet Symphony], genres[alternative rock], performer[The Verve])",What board game do you think is the most educational for a three-player game?
"inform(name[Careless Whisper], genres[pop music], publication_year[1984])"," Have you heard of Betrayal at House on the Hill, the board game from Asmodee?"
"inform(name[Mad Love], genres[electropop], instance_of[single])","
Are you talking about the board game Stratego, published by Jumbo Games?"
"inform(name[Break My Soul], genres[dance-pop], record_label[Parkwood Entertainment])"," Spirit Island is an excellent board game, and I highly recommend it. The publication year of 2017 makes it a modern game, and the minimum number of players of 1 makes it great for solo players."
"inform(name[Marilyn Monroe], genres[funk], record_label[Columbia Records])",You really enjoyed Star Realms. Do you usually like science fiction board games?
"inform(name[So Good], genres[pop rap], from_album[Strange Clouds])","
Have you ever played a board game with a maximum of 6 players, like Betrayal at House on the Hill?"
"inform(name[Macarena], genres[flamenco], producer[Los del R铆o])",Mangala is an average board game. It's a great choice for a casual game night.
"inform(name[About Damn Time], genres[disco], instance_of[single])",What's the most confusing science fiction board game you've ever played?
"inform(name[Mr. Brightside], genres[indie rock], from_album[Hot Fuss])"," Have you ever played Carcassonne, a board game developed by Klaus-Jürgen Wrede? It also has an alternate name, Carcassonne Jubilee Edition."
"inform(name[Style], genres[synth-pop], performer[Taylor Swift])",Are you talking about the board game Descent Journeys in the Dark?
"inform(name[Stereotypes], genres[Britpop], from_album[The Great Escape])",What makes deduction board games your favorite type of board game?
"inform(name[Cold Heart], genres[disco], performer[Dua Lipa, Elton John])"," Are you referring to the Lord of the Rings board game from developer Reiner Knizia, in the fantasy genre?"
"inform(name[Paint It Black], genres[rock music], from_album[Aftermath])",Carcassonne is a good board game in my opinion. The moderate complexity rating makes it enjoyable for players of all levels.
"inform(name[Stairway to Heaven], genres[progressive rock], is_from_album[True])"," Have you heard of Axis and Allies, the board game?"
"inform(name[Hold My Hand], genres[arena rock], record_label[Interscope Records])",What's the most entertaining cooperative board game in the board game domain?
"inform(name[Style], genres[pop rock], record_label[Republic Records])",You said Stratego was just okay. Do you think all board wargames are mediocre?
"inform(name[Dragostea Din Tei], genres[Eurodance], publication_year[2003])",Have you heard of the board game Sherlock Holmes Consulting Detective?
"inform(name[Mr. Brightside], genres[indie rock], is_from_album[True])"," Have you ever played a board game from Germany for up to 6 players, like Carcassonne?"
"inform(name[In My Bed], genres[soul music], record_label[Island Records])",Betrayal at House on the Hill is a complex cooperative board game published by Hasbro and developed by Bruce Glassco. It requires at least 3 players.
"inform(name[Every Breath You Take], genres[pop rock], producer[Stewart Copeland])"," I find Afrikan tähti to be a poor board game. The minimum number of players of 2 limits its appeal, and I wouldn't recommend it."
"inform(name[Y.M.C.A.], genres[disco], is_from_album[True])"," Have you played Betrayal at House on the Hill, the board game from Asmodee?"
"inform(name[Dog Eat Dog], genres[new wave], instance_of[musical work/composition])",You found Scotland Yard to be just okay. Do you think cooperative gameplay board games are usually mediocre?
"inform(name[Dog Eat Dog], genres[new wave], from_album[Kings of the Wild Frontier])"," A Game of Thrones is a great board game. Its good rating, 180 minutes of playing time, and instance of board game make it an enjoyable game."
"inform(name[Feel Again], genres[pop music], from_album[Native])","
Are you talking about the science fiction board game, Cosmic Encounter?"
"inform(name[Marilyn Monroe], genres[funk], is_from_album[True])"," Betrayal at House on the Hill is an average board game, but I find it enjoyable due to its cooperative genre and the design by Bruce Glassco."
"inform(name[Mr. Brightside], genres[indie rock], publication_year[2003])"," Enchanted Forest is an average board game, but its 30 minute playing time and fantasy genre make it appealing to me."
"inform(name[Black Barbies], genres[hip hop music], rating[excellent])"," Have you heard of Twilight Struggle, a board wargame from GMT Games?"
"inform(name[Matador], genres[candombe], record_label[Sony Music])",What's the most strategic deduction game you can play in the board game domain?
"inform(name[Blurred Lines], genres[contemporary R&B], instance_of[single])"," Are you referring to the Ravensburger board game Enchanted Forest (or Rayas Journey: An Enchanted Forest Game, Sagaland, or The Wizard of Oz)?"
"inform(name[Feel Again], genres[pop music], performer[OneRepublic])"," Have you ever played a science fiction board game with up to 8 players, like Cosmic Encounter?"
"inform(name[All or Nothing], genres[pop music], from_album[Girl You Know It's True])",Battle Masters is an average fantasy board game for two players.
"inform(name[As It Was], genres[new wave], is_from_album[True])",What makes fantasy board games such a good game for you?
"inform(name[All or Nothing], genres[pop music], publication_year[1990])"," Are you referring to the Lord of the Rings board game, based on The Lord of the Rings, published in 2000?"
"inform(name[Poison], genres[dance-pop], performer[Nicole Scherzinger])"," I think Yomi is an average board game. The maximum number of players is 2, which is a bit limiting, but the minimum of 2 players makes it still enjoyable for a couple."
"inform(name[Habibi], genres[reggaeton], instance_of[single])",What do you think makes cooperative board games just an average board game?
"inform(name[Break My Soul], genres[electropop], instance_of[single])"," Dune is an advanced science fiction board game, released in 1979, for up to 6 players. It has an excellent rating."
"inform(name[Pumped Up Kicks], genres[pop rock], is_from_album[True], producer[Mark Foster])"," Have you heard of Mystery Motive for Murder, a mystery fiction board game?"
"inform(name[Habibi], genres[reggaeton], rating[excellent], publication_year[2014])",Carcassonne is a 2000 German-style board game for up to 6 players with a maximum playing time of 45 minutes.
"inform(name[Habibi], genres[reggaeton], rating[excellent], instance_of[single])",Crossings is an abstract strategy board game for a minimum of 2 players.
"inform(name[Sweet Home Alabama], genres[rock music], record_label[MCA Records], is_from_album[True])"," Have you ever played a board game in the science fiction genre, like Cosmic Encounter?"
"inform(name[Cold Heart], genres[disco], is_from_album[False], rating[good])",Star Realms is a science fiction board game for 2 to 6 players with an excellent rating.
"inform(name[Anti-Hero], genres[synth-pop], from_album[Midnights], instance_of[musical work/composition])",You said Dune was great. Do you usually love board games?
"inform(name[Anti-Hero], genres[synth-pop], record_label[Republic Records], producer[Taylor Swift])"," Have you heard of Betrayal at House on the Hill, the horror fiction board game from Asmodee?"
"inform(name[Paint It Black], genres[rock music], producer[Andrew Loog Oldham], instance_of[single])","
Are you referring to the board game Axis and Allies, also known as Axis and Allies, published by Avalon Hill?"
"inform(name[In My Bed], genres[soul music], from_album[Frank], instance_of[single])",What's a straightforward board wargame in the board game domain?
"inform(name[Old Town Road], genres[Southern hip hop], publication_year[2018], producer[Trent Reznor])"," Sherlock Holmes Consulting Detective is an excellent board game. As a deduction game, it's both challenging and enjoyable."
"inform(name[Stairway to Heaven], genres[hard rock], rating[excellent], publication_year[1971])",Crossings is a complex abstract strategy board game for 2 players with a minimum playing time of 20 minutes.
"inform(name[Waka Waka], genres[pop rock], producer[John Hill], rating[excellent])",What is it about deduction board games that make them an average board game?
"inform(name[Feel Again], genres[pop music], from_album[Native], record_label[Mosley Music Group])",Are you referring to the historical board game Thurn and Taxis from publisher Hans im Glück?
"inform(name[Cold Heart], genres[disco], performer[Dua Lipa, Elton John], record_label[Virgin EMI Records])",Descent Journeys in the Dark is a fantasy board game published by Fantasy Flight Games in 2005.
"inform(name[Blinding Lights], genres[electropop], instance_of[single], performer[The Weeknd])",Are you talking about the board game Betrayal at House on the Hill?
"inform(name[Blurred Lines], genres[contemporary R&B], performer[Robin Thicke, Pharrell Williams], is_from_album[True])",Lord of the Rings is a simple fantasy board game developed by Reiner Knizia which was published in 2000. It has an average rating and a minimum playing time of 20 minutes.
"inform(name[Break My Soul], genres[disco], publication_year[2022], instance_of[single])",What's the most entertaining deduction game in the board game domain?
"inform(name[All or Nothing], genres[pop music], instance_of[single], is_from_album[True])",Chicago is a strategy board game published by Playmix for up to 4 players. It has a poor rating.
"inform(name[Stargazing], genres[tropical house], rating[excellent], instance_of[single])"," War of 1812 is an average board game, but I still enjoy it. The complexity rating is complex and the publication year of 1973 still make it relevant today."
"inform(name[Dragostea Din Tei], genres[Eurodance], is_from_album[True], instance_of[musical work/composition])"," Betrayal at House on the Hill is an average board game in my opinion. The complexity rating is complex, and the maximum number of players of 6 makes it perfect for a group of friends."
"inform(name[Kings of the Wild Frontier], genres[post-punk], publication_year[1980], performer[Adam and the Ants])",What makes science fiction board games your favorite type of game?
"inform(name[Mr. Brightside], genres[indie rock], is_from_album[True], instance_of[single])",You said Carcassonne was good. Do you usually like board games by Klaus-Jürgen Wrede?
"inform(name[Matador], genres[candombe], rating[excellent], performer[Los Fabulosos Cadillacs])"," Have you ever played a board game created by Michel Matschoss, like Enchanted Forest?"
"inform(name[I Was Gonna Cancel], genres[synth-pop], performer[Kylie Minogue], is_from_album[True])",Enchanted Forest is a fantasy board game for up to 6 players.
"inform(name[Marilyn Monroe], genres[funk], rating[excellent], instance_of[single])",What's the least inspiring cooperative board game you know of in the board game domain?
"inform(name[We Are the World], genres[gospel music], producer[Quincy Jones], rating[excellent])",Dune is an excellent board game. The advanced complexity and minimum playing time of 60 minutes make it great for experienced gamers.
"inform(name[Macarena], genres[Eurodance], instance_of[musical work/composition], publication_year[1993])","
Are you talking about the wargame board game War of 1812?"
"inform(name[Matador], genres[candombe], instance_of[musical work/composition], performer[Los Fabulosos Cadillacs])","
Are you talking about Bruce Glassco's Betrayal at House on the Hill board game, published by Asmodee?"
"inform(name[Somebody That I Used to Know], genres[indie pop], rating[excellent], is_from_album[True])"," Punaisten ja valkoisten taistelu Suomessa 1918 is a simple wargame board game from Finland for at least 2 players, with a poor rating."
"inform(name[As It Was], genres[new wave], record_label[Columbia Records], publication_year[2022])",Mystery Motive for Murder is a mystery fiction board game published by Mayfair Games in 2015. It can be played in 30 to 90 minutes with a minimum of 1 player.
"inform(name[All or Nothing], genres[pop music], performer[Milli Vanilli], record_label[Arista Records])"," Have you heard of Mangala, the board game?"
"inform(name[Black Barbies], genres[hip hop music], publication_year[2016], is_from_album[False])"," Axis and Allies is an average board game, but I like that it can be played with a minimum number of two players."
"inform(name[Sweet Home Alabama], genres[rock music], rating[excellent], producer[Al Kooper])"," Punaisten ja valkoisten taistelu Suomessa 1918 is a simple wargame board game from Finland, published in 1918. It typically takes 2 players and has a poor rating."
"inform(name[Wild], genres[synth-pop], performer[Troye Sivan], from_album[Blue Neighbourhood])"," Crossings is an average board game, but I like that it has a minimum playing time of 20 minutes and a maximum number of players of 2."
"inform(name[Black Barbies], genres[hip hop music], rating[excellent], producer[Mike WiLL Made-It])"," Monopoly is a classic board game, but it's not very enjoyable. The average rating of poor is very accurate."
"inform(name[Sweet Home Alabama], genres[rock music], publication_year[1974], from_album[Second Helping])"," Have you ever played a deduction game published by Ravensburger, like Scotland Yard?"
"inform(name[Careless Whisper], genres[pop music], is_from_album[True], from_album[Make It Big])",Have you heard of the fantasy board game A Game of Thrones?
"inform(name[King of Sorrow], genres[contemporary R&B], instance_of[single], rating[excellent])"," Barbarossa, developed by Klaus Teuber, is a moderate fantasy board game for 3 to 6 players."
"inform(name[Right Here, Right Now], genres[electro], performer[Giorgio Moroder], instance_of[single])",You found War of 1812 to be just okay. Do you think all wargames are mediocre?
"inform(name[Dragostea Din Tei], genres[Eurodance], record_label[Ultra Records], from_album[DiscO-Zone])",Have you ever heard of the board game Thurn and Taxis from Andreas Seyfarth and Hans im Glück?
"inform(name[Anti-Hero], genres[synth-pop], instance_of[musical work/composition], record_label[Republic Records])"," Do you ever play board games for two players, like Yomi?"
"inform(name[Poison], genres[dance-pop], performer[Nicole Scherzinger], is_from_album[True])","
What educational cooperative board game do you know of in the board game domain?"
"inform(name[Feel Again], genres[pop music], record_label[Mosley Music Group], is_from_album[True])",Axis and Allies is an average board game. The advanced complexity and minimum playing time of 180 minutes make it a great choice for experienced gamers.
"inform(name[We Are the World], genres[gospel music], rating[excellent], producer[Quincy Jones])",You loved Star Realms. Do you usually have a great opinion of board games?
"inform(name[Dragostea Din Tei], genres[Eurodance], producer[Dan Balan], from_album[DiscO-Zone])"," Have you heard of Scotland Yard, a board game with cooperative gameplay?"
"inform(name[Stairway to Heaven], genres[progressive rock], rating[excellent], performer[Led Zeppelin])",Battle Masters is an average board game. The minimum playing time of 60 minutes makes it too limited for me.
"inform(name[I Was Gonna Cancel], genres[synth-pop], instance_of[musical work/composition], publication_year[2014])","
Are you referring to Carcassonne (or Carcassonne Jubilee Edition), the board game from Germany?"
"inform(name[Que Calor], genres[Latin music], record_label[Mad Decent], publication_year[2019])"," Do you know about Barbarossa, the board game developed by Klaus Teuber?"
"inform(name[Sweet Home Alabama], genres[rock music], producer[Al Kooper], from_album[Second Helping])",You found Mystery Motive for Murder to be just okay. Do you usually think mystery fiction board games are mediocre?
"inform(name[Marilyn Monroe], genres[funk], publication_year[2014], rating[excellent])"," Monopoly, also known as Deluxe Monopoly, is a roll-and-move board game developed by Elizabeth Magie for two players."
"inform(name[Stereotypes], genres[Britpop], rating[good], performer[Blur])"," Have you ever played a board game, like Carcassonne?"
"inform(name[Cold Heart], genres[disco], performer[Dua Lipa, Elton John], rating[good])"," Have you played Spirit Island, the board game?"
"inform(name[Money for Nothing], genres[rock music], producer[Mark Knopfler], record_label[Vertigo])",You enjoyed HeroQuest. Do you usually like Games Workshop board games?
"inform(name[Paint It Black], genres[rock music], instance_of[single], rating[excellent])"," Have you heard of Afrikan tähti, a board game from Finland that also goes by the names African Star and Diamond Hunt?"
"inform(name[Old Town Road], genres[Southern hip hop], rating[excellent], from_album[7])",Have you ever heard of the board game Punaisten ja valkoisten taistelu Suomessa 1918? It's a wargame.
"inform(name[Evolution], genres[nu metal], performer[Korn], instance_of[song])",You said Cosmic Encounter was just okay. Do you think all Fantasy Flight Games board games are average?
"inform(name[Marilyn Monroe], genres[funk], record_label[Columbia Records], publication_year[2014])",You loved Dune. Do you think all science fiction board games from Avalon Hill are great?
"inform(name[Anti-Hero], genres[synth-pop], rating[excellent], instance_of[musical work/composition])",You said you like Thurn and Taxis. Is this usually the case for board games by Andreas Seyfarth?
"inform(name[Dragostea Din Tei], genres[Eurodance], record_label[Ultra Records], rating[excellent])","
Are you talking about the science fiction board game Cosmic Encounter?"
"inform(name[Pumped Up Kicks], genres[pop rock], performer[Foster the People], from_album[Torches])",What's an engaging board game you can play with up to 5 players?
"inform(name[Bitter Sweet Symphony], genres[alternative rock], from_album[Urban Hymns], publication_year[1997])",Have you ever played a stimulating fantasy board game?
"inform(name[Paint It Black], genres[rock music], publication_year[1966], rating[excellent])",You liked Thurn and Taxis a lot. Do you usually have a good opinion of board games by Karen Seyfarth?
"inform(name[Macarena], genres[music of Latin America], producer[Los del R铆o], rating[excellent])",Cosmic Encounter is a complex science fiction board game from 1977. It typically requires 3-8 players with a minimum playing time of 90 minutes. It has an average rating.
"inform(name[Money, Cash, Hoes], genres[East Coast hip hop], instance_of[single], producer[Swizz Beatz])"," Have you ever heard of Yomi, or its alternate name Yomi: Fighting Card Game? It's a card game that's also a board game."
"inform(name[Somebody That I Used to Know], genres[art pop], rating[excellent], record_label[Eleven: A Music Company])"," Have you ever played a board game, like Twilight Struggle?"
"inform(name[Apple Shampoo], genres[pop punk], producer[Mark Trombino], rating[good])"," Have you ever played a board game from Klaus Teuber, published by Franckh-Kosmos, like Barbarossa?"
"inform(name[Bitter Sweet Symphony], genres[alternative rock], instance_of[single], is_from_album[True])",Betrayal at House on the Hill is a cooperative board game.
"inform(name[King of Sorrow], genres[contemporary R&B], publication_year[2001], instance_of[single])",What's the most strategic board game instance you know of?
"inform(name[Careless Whisper], genres[pop music], record_label[Columbia Records], publication_year[1984])",Have you ever played a frustrating board game in the science fiction genre?
"inform(name[Style], genres[pop rock], publication_year[2015], performer[Taylor Swift])",What board game do you think is the most tedious for a four-player game?
"inform(name[Seven Nation Army], genres[garage rock], record_label[XL Recordings], instance_of[single])"," Are you referring to the 1979 science fiction board game, Dune?"
"inform(name[King of Sorrow], genres[contemporary R&B], performer[Sade], rating[excellent])",What board game with deductive reasoning game mechanics do you think is educational?
"inform(name[Dog Eat Dog], genres[new wave], is_from_album[True], producer[Chris Hughes])",Thurn and Taxis is a 2006 historical board game with a good rating.
"inform(name[Somebody That I Used to Know], genres[art pop], performer[Gotye, Kimbra], publication_year[2011])","
Are you talking about the abstract strategy board game, Crossings?"
"inform(name[All or Nothing], genres[pop music], from_album[Girl You Know It's True], performer[Milli Vanilli])"," Have you ever played a board game for up to 6 players, like Enchanted Forest?"
"inform(name[Over It], genres[contemporary R&B], publication_year[2007], instance_of[single])",War of 1812 is a 1973 wargame board game.
"inform(name[I], genres[hip hop music], instance_of[single], record_label[Aftermath Entertainment])"," Have you heard of Thurn and Taxis, the Hans im Glück board game?"
"inform(name[Feel Again], genres[pop music], is_from_album[True], from_album[Native])"," Have you ever played a board wargame, like Stratego?"
"inform(name[Wild], genres[synth-pop], record_label[Universal Music Australia], rating[excellent])",War of 1812 is a complex wargame board game published by Columbia Games with an average rating. It requires a minimum of 2 players and a playing time of 90 minutes.
"inform(name[For a Friend], genres[pop music], rating[mediocre], instance_of[single])"," Scotland Yard, also known as Fanton, is an average deduction board game published by Ravensburger."
"inform(name[The Way I Are], genres[pop music], producer[Joel Little], performer[Bebe Rexha], rating[excellent])",You really enjoyed Sherlock Holmes Consulting Detective. Do you usually like board games with deductive reasoning mechanics?
"inform(name[Macarena], genres[Eurodance], is_from_album[True], producer[Los del R铆o], rating[excellent])"," Have you ever played a strategy board game, like Chicago?"
"inform(name[Evolution], genres[nu metal], record_label[EMI], from_album[Untitled Korn album], publication_year[2007])"," Are you referring to the Hans im Glück board game Carcassonne, published in 2000?"
"inform(name[Poison], genres[dance-pop], from_album[Killer Love], record_label[Interscope Records], is_from_album[True])"," Enchanted Forest, also known as Rayas Journey: An Enchanted Forest Game, Sagaland, or The Wizard of Oz, is a simple fantasy board game developed by Michel Matschoss and published by Ravensburger. It requires a minimum of 2 players."
"inform(name[Marilyn Monroe], genres[funk], record_label[Columbia Records], is_from_album[True], producer[Pharrell Williams])",Are you talking about the fantasy board game Lord of the Rings?
"inform(name[Black Barbies], genres[hip hop music], is_from_album[False], producer[Mike WiLL Made-It], rating[excellent])","
Are you talking about the board game Yomi?"
"inform(name[Money, Cash, Hoes], genres[East Coast hip hop], is_from_album[True], rating[good], performer[DMX, Jay-Z])",Have you heard of the board game Thurn and Taxis?
"inform(name[Waka Waka], genres[pop rock], rating[excellent], record_label[Epic Records], from_album[Listen Up! The Official 2010 FIFA World Cup Album])",Have you ever played the board game Stratego? It's a board wargame.
"inform(name[Right Here, Right Now], genres[electro], is_from_album[True], from_album[D茅j脿 Vu], producer[Giorgio Moroder])",What's the most strategic cooperative board game you've ever played?
"inform(name[Over It], genres[sentimental ballad], performer[Katharine McPhee], producer[Josh Alexander], is_from_album[True])",What strategic board game with cooperative gameplay have you played?
"inform(name[So Good], genres[pop rap], publication_year[2012], instance_of[single], rating[excellent])",How about Star Realms? It's a board game.
"inform(name[Viva la Vida], genres[baroque pop], rating[excellent], instance_of[single], from_album[Viva la Vida or Death and All His Friends])",Twilight Struggle is an advanced board wargame published by GMT Games for 2 players.
"inform(name[Stargazing], genres[tropical house], is_from_album[True], from_album[Stargazing], record_label[Sony Music])"," Have you ever played a board game published by GMT Games for two players, like Twilight Struggle?"
"inform(name[Style], genres[funk], from_album[1989], rating[excellent], instance_of[song])",What's an engaging board game for a maximum of four players?
"inform(name[Stargazing], genres[electronic dance music], is_from_album[True], instance_of[single], record_label[Sony Music])","
Are you talking about the roll-and-move board game Afrikan tähti?"
"inform(name[As It Was], genres[new wave], instance_of[single], from_album[Harry's House], rating[excellent])",Chicago is a poor board game in my opinion. The complexity rating is high and the strategy game genre may be too difficult for casual players.
"inform(name[Over It], genres[pop music], rating[good], record_label[Inc.], publication_year[2007])","
Are you referring to Fantasy Flight Games' Descent Journeys in the Dark board game?"
"inform(name[Anti-Hero], genres[synth-pop], performer[Taylor Swift], instance_of[musical work/composition], record_label[Republic Records])"," Are you talking about the board game Monopoly, based on The Landlords Game?"
"inform(name[Take My Breath Away], genres[synth-pop], publication_year[1986], is_from_album[True], performer[Berlin])"," Have you played Scotland Yard, with its alternate name Fanton, and cooperative gameplay mechanics?"
"inform(name[For a Friend], genres[pop music], publication_year[1988], rating[mediocre], from_album[Red])"," Have you heard of Thurn and Taxis, the German board game from Andreas Seyfarth?"
"inform(name[Somebody That I Used to Know], genres[indie pop], rating[excellent], is_from_album[True], producer[Gotye])",You said you liked A Game of Thrones. Do you usually have a good opinion of board games?
"inform(name[Wanna Get to Know You], genres[hip hop music], record_label[G-Unit Records], producer[Red Spyda], instance_of[single])"," Have you ever heard of the board game Crossings, it's an abstract strategy game?"
"inform(name[Apple Shampoo], genres[pop punk], is_from_album[True], record_label[MCA Records], instance_of[musical work/composition])"," Have you heard of Scotland Yard, a deduction board game also known as Fanton?"
"inform(name[All or Nothing], genres[pop music], instance_of[single], is_from_album[True], performer[Milli Vanilli])"," Have you heard of Carcassonne, a board game from Germany?"
"inform(name[Poison], genres[dance-pop], from_album[Killer Love], publication_year[2010], rating[excellent])"," Yomi: Fighting Card Game, also known as Yomi, is a complex board game that can be played with two players in a minimum of 30 minutes. It has an average rating."
"inform(name[Wanna Get to Know You], genres[hip hop music], producer[Red Spyda], from_album[Beg for Mercy], publication_year[2004])",You found Battle Masters to be just okay. Do you think most fantasy board games are mediocre?
"inform(name[I], genres[hip hop music], instance_of[single], record_label[Aftermath Entertainment], producer[Rahki])",You said War of 1812 was just okay. Do you think all wargames from Columbia Games are mediocre?
