mr,mr_new,da,errors,incorrect,duplicate,mr_len,SACC
"inform(name[Money, Cash, Hoes], genres[East Coast hip hop], from_album[Vol. 2... Hard Knock Life], producer[Swizz Beatz])","Money, Cash, Hoes genres East Coast hip hop. Money, Cash, Hoes from album Vol. 2... Hard Knock Life. Money, Cash, Hoes producer Swizz Beatz. Money, Cash, Hoes domain songs.",inform,0,,,4,100
"inform(name[Mr. Brightside], genres[indie rock], record_label[Island Records], producer[The Killers])",Mr. Brightside genres indie rock. Mr. Brightside record label Island Records. Mr. Brightside producer The Killers. Mr. Brightside domain songs.,inform,0,,,4,100
"inform(name[Apple Shampoo], genres[pop punk], producer[Mark Trombino], publication_year[1997], record_label[MCA Records])",Apple Shampoo genres pop punk. Apple Shampoo producer Mark Trombino. Apple Shampoo publication year 1997. Apple Shampoo record label MCA Records. Apple Shampoo domain songs.,inform,0,,,5,100
"inform(name[Black Barbies], genres[hip hop music], producer[Mike WiLL Made-It], publication_year[2016], from_album[N/A])",Black Barbies genres hip hop music. Black Barbies producer Mike WiLL Made-It. Black Barbies publication year 2016. Black Barbies from album N/A. Black Barbies domain songs.,inform,0,,,5,100
"inform(name[Wild], genres[synth-pop], performer[Troye Sivan], record_label[Universal Music Australia], from_album[Blue Neighbourhood])",Wild genres synth-pop. Wild performer Troye Sivan. Wild record label Universal Music Australia. Wild from album Blue Neighbourhood. Wild domain songs.,inform,0,,,5,100
"inform(name[Stargazing], genres[electronic dance music], record_label[Sony Music], from_album[Stargazing], publication_year[2017])",Stargazing genres electronic dance music. Stargazing record label Sony Music. Stargazing from album Stargazing. Stargazing publication year 2017. Stargazing domain songs.,inform,0,,,5,100
"inform(name[About Damn Time], genres[funk], publication_year[2022], record_label[Atlantic Records], from_album[N/A])",About Damn Time genres funk. About Damn Time publication year 2022. About Damn Time record label Atlantic Records. About Damn Time from album N/A. About Damn Time domain songs.,inform,0,,,5,100
"inform(name[Blinding Lights], genres[electropop], producer[The Weeknd], record_label[Republic Records], performer[The Weeknd])",Blinding Lights genres electropop. Blinding Lights producer The Weeknd. Blinding Lights record label Republic Records. Blinding Lights performer The Weeknd. Blinding Lights domain songs.,inform,0,,,5,100
"inform(name[Money, Cash, Hoes], genres[East Coast hip hop], from_album[Vol. 2... Hard Knock Life], record_label[Roc-A-Fella Records], performer[DMX, Jay-Z])","Money, Cash, Hoes genres East Coast hip hop. Money, Cash, Hoes from album Vol. 2... Hard Knock Life. Money, Cash, Hoes record label Roc-A-Fella Records. Money, Cash, Hoes performer DMX, Jay-Z. Money, Cash, Hoes domain songs.",inform,0,,,5,100
"inform(name[In My Bed], genres[soul music], from_album[Frank], rating[excellent], publication_year[2004])",In My Bed genres soul music. In My Bed from album Frank. In My Bed rating excellent. In My Bed publication year 2004. In My Bed domain songs.,inform,0,,,5,100
"inform(name[About Damn Time], genres[funk], publication_year[2022], performer[Lizzo], rating[good])",About Damn Time genres funk. About Damn Time publication year 2022. About Damn Time performer Lizzo. About Damn Time rating good. About Damn Time domain songs.,inform,0,,,5,100
"inform(name[Marilyn Monroe], genres[funk], rating[excellent], performer[Pharrell Williams], producer[Pharrell Williams])",Marilyn Monroe genres funk. Marilyn Monroe rating excellent. Marilyn Monroe performer Pharrell Williams. Marilyn Monroe producer Pharrell Williams. Marilyn Monroe domain songs.,inform,0,,,5,100
"inform(name[In My Bed], genres[soul music], producer[Salaam Remi], from_album[Frank], performer[Amy Winehouse])",In My Bed genres soul music. In My Bed producer Salaam Remi. In My Bed from album Frank. In My Bed performer Amy Winehouse. In My Bed domain songs.,inform,0,,,5,100
"inform(name[Evolution], genres[nu metal], publication_year[2007], producer[Atticus Ross], rating[excellent])",Evolution genres nu metal. Evolution publication year 2007. Evolution producer Atticus Ross. Evolution rating excellent. Evolution domain songs.,inform,0,,,5,100
"inform(name[Space Oddity], genres[space rock], performer[David Bowie], record_label[Mercury Records], from_album[David Bowie])",Space Oddity genres space rock. Space Oddity performer David Bowie. Space Oddity record label Mercury Records. Space Oddity from album David Bowie. Space Oddity domain songs.,inform,0,,,5,100
"inform(name[Stairway to Heaven], genres[hard rock], rating[excellent], record_label[Atlantic Records], producer[Jimmy Page])",Stairway to Heaven genres hard rock. Stairway to Heaven rating excellent. Stairway to Heaven record label Atlantic Records. Stairway to Heaven producer Jimmy Page. Stairway to Heaven domain songs.,inform,0,,,5,100
"inform(name[Afterlife], genres[indie rock], publication_year[2013], producer[James Murphy], record_label[Merge Records])",Afterlife genres indie rock. Afterlife publication year 2013. Afterlife producer James Murphy. Afterlife record label Merge Records. Afterlife domain songs.,inform,0,,,5,100
"inform(name[Style], genres[pop rock], producer[Max Martin], publication_year[2015], from_album[1989])",Style genres pop rock. Style producer Max Martin. Style publication year 2015. Style from album 1989. Style domain songs.,inform,0,,,5,100
"inform(name[About Damn Time], genres[disco], from_album[N/A], rating[good], performer[Lizzo])",About Damn Time genres disco. About Damn Time from album N/A. About Damn Time rating good. About Damn Time performer Lizzo. About Damn Time domain songs.,inform,0,,,5,100
"inform(name[Over It], genres[sentimental ballad], publication_year[2007], record_label[Inc.], rating[good])",Over It genres sentimental ballad. Over It publication year 2007. Over It record label Inc.. Over It rating good. Over It domain songs.,inform,0,,,5,100
"inform(name[Over It], genres[pop music], performer[Katharine McPhee], record_label[RCA Records], from_album[Katharine McPhee])",Over It genres pop music. Over It performer Katharine McPhee. Over It record label RCA Records. Over It from album Katharine McPhee. Over It domain songs.,inform,0,,,5,100
"inform(name[Over It], genres[contemporary R&B], publication_year[2007], from_album[Katharine McPhee], record_label[Inc.])",Over It genres contemporary R&B. Over It publication year 2007. Over It from album Katharine McPhee. Over It record label Inc.. Over It domain songs.,inform,0,,,5,100
"inform(name[Waka Waka], genres[pop rock], from_album[Listen Up! The Official 2010 FIFA World Cup Album], performer[Freshlyground, Shakira], producer[Shakira])","Waka Waka genres pop rock. Waka Waka from album Listen Up! The Official 2010 FIFA World Cup Album. Waka Waka performer Freshlyground, Shakira. Waka Waka producer Shakira. Waka Waka domain songs.",inform,1,,producer,5,80
"inform(name[Mr. Brightside], genres[indie rock], producer[The Killers], publication_year[2003], from_album[Hot Fuss])",Mr. Brightside genres indie rock. Mr. Brightside producer The Killers. Mr. Brightside publication year 2003. Mr. Brightside from album Hot Fuss. Mr. Brightside domain songs.,inform,0,,,5,100
"inform(name[Money, Cash, Hoes], genres[East Coast hip hop], record_label[Roc-A-Fella Records], performer[DMX, Jay-Z], producer[Swizz Beatz])","Money, Cash, Hoes genres East Coast hip hop. Money, Cash, Hoes record label Roc-A-Fella Records. Money, Cash, Hoes performer DMX, Jay-Z. Money, Cash, Hoes producer Swizz Beatz. Money, Cash, Hoes domain songs.",inform,0,,,5,100
"inform(name[Mr. Brightside], genres[indie rock], record_label[Island Records], publication_year[2003], rating[excellent])",Mr. Brightside genres indie rock. Mr. Brightside record label Island Records. Mr. Brightside publication year 2003. Mr. Brightside rating excellent. Mr. Brightside domain songs.,inform,0,,,5,100
"inform(name[Que Calor], genres[Latin music], rating[excellent], publication_year[2019], from_album[Music Is the Weapon])",Que Calor genres Latin music. Que Calor rating excellent. Que Calor publication year 2019. Que Calor from album Music Is the Weapon. Que Calor domain songs.,inform,0,,,5,100
"inform(name[Dog Eat Dog], genres[new wave], performer[Adam and the Ants], producer[Chris Hughes], rating[good])",Dog Eat Dog genres new wave. Dog Eat Dog performer Adam and the Ants. Dog Eat Dog producer Chris Hughes. Dog Eat Dog rating good. Dog Eat Dog domain songs.,inform,0,,,5,100
"inform(name[Seven Nation Army], genres[garage rock], record_label[XL Recordings], from_album[Elephant], producer[Jack White])",Seven Nation Army genres garage rock. Seven Nation Army record label XL Recordings. Seven Nation Army from album Elephant. Seven Nation Army producer Jack White. Seven Nation Army domain songs.,inform,0,,,5,100
"inform(name[Wild], genres[synth-pop], rating[excellent], publication_year[2015], record_label[Universal Music Australia])",Wild genres synth-pop. Wild rating excellent. Wild publication year 2015. Wild record label Universal Music Australia. Wild domain songs.,inform,0,,,5,100
"inform(name[Marilyn Monroe], genres[funk], record_label[Columbia Records], producer[Pharrell Williams], publication_year[2014])",Marilyn Monroe genres funk. Marilyn Monroe record label Columbia Records. Marilyn Monroe producer Pharrell Williams. Marilyn Monroe publication year 2014. Marilyn Monroe domain songs.,inform,0,,,5,100
"inform(name[Kings of the Wild Frontier], genres[post-punk], producer[Chris Hughes], rating[good], record_label[Sony Music])",Kings of the Wild Frontier genres post-punk. Kings of the Wild Frontier producer Chris Hughes. Kings of the Wild Frontier rating good. Kings of the Wild Frontier record label Sony Music. Kings of the Wild Frontier domain songs.,inform,0,,,5,100
"inform(name[Paint It Black], genres[rock music], performer[The Rolling Stones], from_album[Aftermath], producer[Andrew Loog Oldham])",Paint It Black genres rock music. Paint It Black performer The Rolling Stones. Paint It Black from album Aftermath. Paint It Black producer Andrew Loog Oldham. Paint It Black domain songs.,inform,0,,,5,100
"inform(name[Bitter Sweet Symphony], genres[alternative rock], producer[Youth], publication_year[1997], performer[The Verve])",Bitter Sweet Symphony genres alternative rock. Bitter Sweet Symphony producer Youth. Bitter Sweet Symphony publication year 1997. Bitter Sweet Symphony performer The Verve. Bitter Sweet Symphony domain songs.,inform,0,,,5,100
"inform(name[As It Was], genres[synth-pop], publication_year[2022], record_label[Columbia Records], performer[Harry Styles])",As It Was genres synth-pop. As It Was publication year 2022. As It Was record label Columbia Records. As It Was performer Harry Styles. As It Was domain songs.,inform,0,,,5,100
"inform(name[We Are the World], genres[gospel music], record_label[Columbia Records], performer[USA for Africa], producer[Quincy Jones])",We Are the World genres gospel music. We Are the World record label Columbia Records. We Are the World performer USA for Africa. We Are the World producer Quincy Jones. We Are the World domain songs.,inform,0,,,5,100
"inform(name[Habibi], genres[dancehall], publication_year[2014], from_album[N/A], performer[Faydee, Mohombi])","Habibi genres dancehall. Habibi publication year 2014. Habibi from album N/A. Habibi performer Faydee, Mohombi. Habibi domain songs.",inform,0,,,5,100
"inform(name[Y.M.C.A.], genres[disco], performer[Village People], rating[excellent], producer[Jacques Morali])",Y.M.C.A. genres disco. Y.M.C.A. performer Village People. Y.M.C.A. rating excellent. Y.M.C.A. producer Jacques Morali. Y.M.C.A. domain songs.,inform,0,,,5,100
"inform(name[Black Barbies], genres[hip hop music], publication_year[2016], performer[Nicki Minaj], rating[excellent])",Black Barbies genres hip hop music. Black Barbies publication year 2016. Black Barbies performer Nicki Minaj. Black Barbies rating excellent. Black Barbies domain songs.,inform,0,,,5,100
"inform(name[Bitter Sweet Symphony], genres[alternative rock], performer[The Verve], producer[Youth], record_label[Hut Records])",Bitter Sweet Symphony genres alternative rock. Bitter Sweet Symphony performer The Verve. Bitter Sweet Symphony producer Youth. Bitter Sweet Symphony record label Hut Records. Bitter Sweet Symphony domain songs.,inform,0,,,5,100
"inform(name[Style], genres[funk], rating[excellent], from_album[1989], performer[Taylor Swift])",Style genres funk. Style rating excellent. Style from album 1989. Style performer Taylor Swift. Style domain songs.,inform,0,,,5,100
"inform(name[Wild], genres[synth-pop], from_album[Blue Neighbourhood], rating[excellent], performer[Troye Sivan])",Wild genres synth-pop. Wild from album Blue Neighbourhood. Wild rating excellent. Wild performer Troye Sivan. Wild domain songs.,inform,0,,,5,100
"inform(name[Habibi], genres[reggaeton], record_label[Sony Music], from_album[N/A], producer[Costi Ioniță])",Habibi genres reggaeton. Habibi record label Sony Music. Habibi from album N/A. Habibi producer Costi Ioniță. Habibi domain songs.,inform,0,,,5,100
"inform(name[Black Barbies], genres[hip hop music], performer[Nicki Minaj], publication_year[2016], producer[Mike WiLL Made-It])",Black Barbies genres hip hop music. Black Barbies performer Nicki Minaj. Black Barbies publication year 2016. Black Barbies producer Mike WiLL Made-It. Black Barbies domain songs.,inform,0,,,5,100
"inform(name[Anti-Hero], genres[synth-pop], from_album[Midnights], publication_year[2022], rating[excellent])",Anti-Hero genres synth-pop. Anti-Hero from album Midnights. Anti-Hero publication year 2022. Anti-Hero rating excellent. Anti-Hero domain songs.,inform,0,,,5,100
"inform(name[Y.M.C.A.], genres[disco], from_album[Cruisin], rating[excellent], producer[Jacques Morali])",Y.M.C.A. genres disco. Y.M.C.A. from album Cruisin. Y.M.C.A. rating excellent. Y.M.C.A. producer Jacques Morali. Y.M.C.A. domain songs.,inform,0,,,5,100
"inform(name[Waka Waka], genres[pop music], performer[Freshlyground, Shakira], producer[Shakira], record_label[Epic Records])","Waka Waka genres pop music. Waka Waka performer Freshlyground, Shakira. Waka Waka producer Shakira. Waka Waka record label Epic Records. Waka Waka domain songs.",inform,1,,producer,5,80
"inform(name[Careless Whisper], genres[pop music], record_label[Columbia Records], rating[excellent], performer[George Michael])",Careless Whisper genres pop music. Careless Whisper record label Columbia Records. Careless Whisper rating excellent. Careless Whisper performer George Michael. Careless Whisper domain songs.,inform,0,,,5,100
"inform(name[Kings of the Wild Frontier], genres[post-punk], producer[Chris Hughes], rating[good], publication_year[1980])",Kings of the Wild Frontier genres post-punk. Kings of the Wild Frontier producer Chris Hughes. Kings of the Wild Frontier rating good. Kings of the Wild Frontier publication year 1980. Kings of the Wild Frontier domain songs.,inform,0,,,5,100
"inform(name[Kings of the Wild Frontier], genres[post-punk], publication_year[1980], rating[good], performer[Adam and the Ants])",Kings of the Wild Frontier genres post-punk. Kings of the Wild Frontier publication year 1980. Kings of the Wild Frontier rating good. Kings of the Wild Frontier performer Adam and the Ants. Kings of the Wild Frontier domain songs.,inform,0,,,5,100
"inform(name[Every Breath You Take], genres[pop rock], producer[Stewart Copeland], record_label[A&M Records], from_album[Synchronicity])",Every Breath You Take genres pop rock. Every Breath You Take producer Stewart Copeland. Every Breath You Take record label A&M Records. Every Breath You Take from album Synchronicity. Every Breath You Take domain songs.,inform,0,,,5,100
"inform(name[I Still...], genres[pop rock], rating[excellent], from_album[Never Gone], publication_year[2005])",I Still... genres pop rock. I Still... rating excellent. I Still... from album Never Gone. I Still... publication year 2005. I Still... domain songs.,inform,0,,,5,100
"inform(name[The Way I Are], genres[pop music], publication_year[2017], from_album[All Your Fault: Pt. 2], record_label[Warner Bros. Records])",The Way I Are genres pop music. The Way I Are publication year 2017. The Way I Are from album All Your Fault: Pt. 2. The Way I Are record label Warner Bros. Records. The Way I Are domain songs.,inform,0,,,5,100
"inform(name[In My Bed], genres[soul music], record_label[Island Records], publication_year[2004], rating[excellent])",In My Bed genres soul music. In My Bed record label Island Records. In My Bed publication year 2004. In My Bed rating excellent. In My Bed domain songs.,inform,0,,,5,100
"inform(name[Afterlife], genres[indie rock], rating[good], publication_year[2013], from_album[Reflektor])",Afterlife genres indie rock. Afterlife rating good. Afterlife publication year 2013. Afterlife from album Reflektor. Afterlife domain songs.,inform,0,,,5,100
"inform(name[Wild], genres[synth-pop], record_label[Universal Music Australia], producer[Alex Hope], performer[Troye Sivan])",Wild genres synth-pop. Wild record label Universal Music Australia. Wild producer Alex Hope. Wild performer Troye Sivan. Wild domain songs.,inform,0,,,5,100
"inform(name[Y.M.C.A.], genres[disco], record_label[Casablanca Records], from_album[Cruisin], performer[Village People])",Y.M.C.A. genres disco. Y.M.C.A. record label Casablanca Records. Y.M.C.A. from album Cruisin. Y.M.C.A. performer Village People. Y.M.C.A. domain songs.,inform,0,,,5,100
"inform(name[Pumped Up Kicks], genres[pop rock], from_album[Torches], publication_year[2010], producer[Mark Foster])",Pumped Up Kicks genres pop rock. Pumped Up Kicks from album Torches. Pumped Up Kicks publication year 2010. Pumped Up Kicks producer Mark Foster. Pumped Up Kicks domain songs.,inform,0,,,5,100
"inform(name[Stereotypes], genres[Britpop], from_album[The Great Escape], publication_year[1996], producer[Stephen Street])",Stereotypes genres Britpop. Stereotypes from album The Great Escape. Stereotypes publication year 1996. Stereotypes producer Stephen Street. Stereotypes domain songs.,inform,0,,,5,100
"inform(name[Kings of the Wild Frontier], genres[post-punk], from_album[Kings of the Wild Frontier], publication_year[1980], performer[Adam and the Ants])",Kings of the Wild Frontier genres post-punk. Kings of the Wild Frontier from album Kings of the Wild Frontier. Kings of the Wild Frontier publication year 1980. Kings of the Wild Frontier performer Adam and the Ants. Kings of the Wild Frontier domain songs.,inform,0,,,5,100
"inform(name[Break My Soul], genres[house music], rating[excellent], performer[Beyoncé], publication_year[2022])",Break My Soul genres house music. Break My Soul rating excellent. Break My Soul performer Beyoncé. Break My Soul publication year 2022. Break My Soul domain songs.,inform,0,,,5,100
"inform(name[Stereotypes], genres[Britpop], performer[Blur], rating[good], publication_year[1996])",Stereotypes genres Britpop. Stereotypes performer Blur. Stereotypes rating good. Stereotypes publication year 1996. Stereotypes domain songs.,inform,0,,,5,100
"inform(name[Take My Breath Away], genres[synth-pop], producer[Giorgio Moroder], performer[Berlin], record_label[Columbia Records])",Take My Breath Away genres synth-pop. Take My Breath Away producer Giorgio Moroder. Take My Breath Away performer Berlin. Take My Breath Away record label Columbia Records. Take My Breath Away domain songs.,inform,0,,,5,100
"inform(name[Hold My Hand], genres[arena rock], performer[Lady Gaga], record_label[Interscope Records], from_album[N/A])",Hold My Hand genres arena rock. Hold My Hand performer Lady Gaga. Hold My Hand record label Interscope Records. Hold My Hand from album N/A. Hold My Hand domain songs.,inform,0,,,5,100
"inform(name[Stairway to Heaven], genres[hard rock], from_album[Led Zeppelin IV], publication_year[1971], record_label[Atlantic Records])",Stairway to Heaven genres hard rock. Stairway to Heaven from album Led Zeppelin IV. Stairway to Heaven publication year 1971. Stairway to Heaven record label Atlantic Records. Stairway to Heaven domain songs.,inform,0,,,5,100
"inform(name[Poison], genres[dance-pop], rating[excellent], performer[Nicole Scherzinger], from_album[Killer Love])",Poison genres dance-pop. Poison rating excellent. Poison performer Nicole Scherzinger. Poison from album Killer Love. Poison domain songs.,inform,0,,,5,100
"inform(name[Apple Shampoo], genres[pop punk], performer[Blink-182], record_label[MCA Records], publication_year[1997])",Apple Shampoo genres pop punk. Apple Shampoo performer Blink-182. Apple Shampoo record label MCA Records. Apple Shampoo publication year 1997. Apple Shampoo domain songs.,inform,0,,,5,100
"inform(name[Get Up!], genres[dubstep], record_label[Roadrunner Records], publication_year[2011], from_album[The Path of Totality])",Get Up! genres dubstep. Get Up! record label Roadrunner Records. Get Up! publication year 2011. Get Up! from album The Path of Totality. Get Up! domain songs.,inform,0,,,5,100
"inform(name[Break My Soul], genres[diva house], from_album[Renaissance], record_label[Columbia Records], rating[excellent])",Break My Soul genres diva house. Break My Soul from album Renaissance. Break My Soul record label Columbia Records. Break My Soul rating excellent. Break My Soul domain songs.,inform,0,,,5,100
"inform(name[Paint It Black], genres[rock music], from_album[Aftermath], rating[excellent], performer[The Rolling Stones])",Paint It Black genres rock music. Paint It Black from album Aftermath. Paint It Black rating excellent. Paint It Black performer The Rolling Stones. Paint It Black domain songs.,inform,0,,,5,100
"inform(name[Poison], genres[dance-pop], from_album[Killer Love], publication_year[2010], record_label[Interscope Records])",Poison genres dance-pop. Poison from album Killer Love. Poison publication year 2010. Poison record label Interscope Records. Poison domain songs.,inform,0,,,5,100
"inform(name[Que Calor], genres[Latin music], publication_year[2019], performer[El Alfa, J Balvin], rating[excellent])","Que Calor genres Latin music. Que Calor publication year 2019. Que Calor performer El Alfa, J Balvin. Que Calor rating excellent. Que Calor domain songs.",inform,0,,,5,100
"inform(name[Stargazing], genres[tropical house], performer[Kygo, Justin Jesso], record_label[Sony Music], from_album[Stargazing])","Stargazing genres tropical house. Stargazing performer Kygo, Justin Jesso. Stargazing record label Sony Music. Stargazing from album Stargazing. Stargazing domain songs.",inform,0,,,5,100
"inform(name[Blurred Lines], genres[contemporary R&B], from_album[Blurred Lines], publication_year[2013], record_label[Universal Music Group])",Blurred Lines genres contemporary R&B. Blurred Lines from album Blurred Lines. Blurred Lines publication year 2013. Blurred Lines record label Universal Music Group. Blurred Lines domain songs.,inform,0,,,5,100
"inform(name[Y.M.C.A.], genres[disco], publication_year[1978], performer[Village People], from_album[Cruisin])",Y.M.C.A. genres disco. Y.M.C.A. publication year 1978. Y.M.C.A. performer Village People. Y.M.C.A. from album Cruisin. Y.M.C.A. domain songs.,inform,0,,,5,100
"inform(name[Stereotypes], genres[Britpop], producer[Stephen Street], from_album[The Great Escape], record_label[EMI])",Stereotypes genres Britpop. Stereotypes producer Stephen Street. Stereotypes from album The Great Escape. Stereotypes record label EMI. Stereotypes domain songs.,inform,0,,,5,100
"inform(name[Feel Again], genres[pop music], rating[excellent], publication_year[2012], performer[OneRepublic])",Feel Again genres pop music. Feel Again rating excellent. Feel Again publication year 2012. Feel Again performer OneRepublic. Feel Again domain songs.,inform,0,,,5,100
"inform(name[The Way I Are], genres[pop music], record_label[Warner Bros. Records], from_album[All Your Fault: Pt. 2], performer[Bebe Rexha])",The Way I Are genres pop music. The Way I Are record label Warner Bros. Records. The Way I Are from album All Your Fault: Pt. 2. The Way I Are performer Bebe Rexha. The Way I Are domain songs.,inform,0,,,5,100
"inform(name[The Way I Are], genres[pop music], rating[excellent], publication_year[2017], producer[Joel Little], record_label[Warner Bros. Records])",The Way I Are genres pop music. The Way I Are rating excellent. The Way I Are publication year 2017. The Way I Are producer Joel Little. The Way I Are record label Warner Bros. Records. The Way I Are domain songs.,inform,0,,,6,100
"inform(name[We Are the World], genres[gospel music], record_label[Sony Music], producer[Quincy Jones], rating[excellent], from_album[We Are the World])",We Are the World genres gospel music. We Are the World record label Sony Music. We Are the World producer Quincy Jones. We Are the World rating excellent. We Are the World from album We Are the World. We Are the World domain songs.,inform,0,,,6,100
"inform(name[I], genres[hip hop music], producer[Rahki], rating[excellent], publication_year[2014], record_label[Aftermath Entertainment])",I genres hip hop music. I producer Rahki. I rating excellent. I publication year 2014. I record label Aftermath Entertainment. I domain songs.,inform,0,,,6,100
"inform(name[Afterlife], genres[indie rock], performer[Arcade Fire], publication_year[2013], rating[good], producer[James Murphy])",Afterlife genres indie rock. Afterlife performer Arcade Fire. Afterlife publication year 2013. Afterlife rating good. Afterlife producer James Murphy. Afterlife domain songs.,inform,0,,,6,100
"inform(name[Marilyn Monroe], genres[funk], from_album[Girl], rating[excellent], publication_year[2014], producer[Pharrell Williams])",Marilyn Monroe genres funk. Marilyn Monroe from album Girl. Marilyn Monroe rating excellent. Marilyn Monroe publication year 2014. Marilyn Monroe producer Pharrell Williams. Marilyn Monroe domain songs.,inform,0,,,6,100
"inform(name[In My Bed], genres[soul music], performer[Amy Winehouse], publication_year[2004], record_label[Island Records], producer[Salaam Remi])",In My Bed genres soul music. In My Bed performer Amy Winehouse. In My Bed publication year 2004. In My Bed record label Island Records. In My Bed producer Salaam Remi. In My Bed domain songs.,inform,0,,,6,100
"inform(name[Stargazing], genres[tropical house], rating[excellent], record_label[Sony Music], producer[Kygo], from_album[Stargazing])",Stargazing genres tropical house. Stargazing rating excellent. Stargazing record label Sony Music. Stargazing producer Kygo. Stargazing from album Stargazing. Stargazing domain songs.,inform,0,,,6,100
"inform(name[Get Up!], genres[dubstep], from_album[The Path of Totality], producer[Skrillex], record_label[Roadrunner Records], performer[Skrillex, Korn])","Get Up! genres dubstep. Get Up! from album The Path of Totality. Get Up! producer Skrillex. Get Up! record label Roadrunner Records. Get Up! performer Skrillex, Korn. Get Up! domain songs.",inform,1,,producer,6,83.33333333
"inform(name[Habibi], genres[dancehall], from_album[N/A], performer[Faydee, Shaggy], producer[Costi Ioniță], record_label[Sony Music])","Habibi genres dancehall. Habibi from album N/A. Habibi performer Faydee, Shaggy. Habibi producer Costi Ioniță. Habibi record label Sony Music. Habibi domain songs.",inform,0,,,6,100
"inform(name[The Way I Are], genres[pop music], record_label[Warner Bros. Records], publication_year[2017], producer[Joel Little], performer[Bebe Rexha])",The Way I Are genres pop music. The Way I Are record label Warner Bros. Records. The Way I Are publication year 2017. The Way I Are producer Joel Little. The Way I Are performer Bebe Rexha. The Way I Are domain songs.,inform,0,,,6,100
"inform(name[Money, Cash, Hoes], genres[East Coast hip hop], publication_year[1998], from_album[Vol. 2... Hard Knock Life], performer[DMX, Jay-Z], producer[Swizz Beatz])","Money, Cash, Hoes genres East Coast hip hop. Money, Cash, Hoes publication year 1998. Money, Cash, Hoes from album Vol. 2... Hard Knock Life. Money, Cash, Hoes performer DMX, Jay-Z. Money, Cash, Hoes producer Swizz Beatz. Money, Cash, Hoes domain songs.",inform,0,,,6,100
"inform(name[Dragostea Din Tei], genres[Eurodance], from_album[DiscO-Zone""], record_label[Ultra Records], publication_year[2003], producer[Dan Balan])","Dragostea Din Tei genres Eurodance. Dragostea Din Tei from album DiscO-Zone"". Dragostea Din Tei record label Ultra Records. Dragostea Din Tei publication year 2003. Dragostea Din Tei producer Dan Balan. Dragostea Din Tei domain songs.",inform,0,,,6,100
"inform(name[Littlest Things], genres[contemporary R&B], producer[Mark Ronson], rating[good], publication_year[2006], performer[Lily Allen])",Littlest Things genres contemporary R&B. Littlest Things producer Mark Ronson. Littlest Things rating good. Littlest Things publication year 2006. Littlest Things performer Lily Allen. Littlest Things domain songs.,inform,0,,,6,100
"inform(name[Mr. Brightside], genres[indie rock], from_album[Hot Fuss], performer[The Killers], rating[excellent], publication_year[2003])",Mr. Brightside genres indie rock. Mr. Brightside from album Hot Fuss. Mr. Brightside performer The Killers. Mr. Brightside rating excellent. Mr. Brightside publication year 2003. Mr. Brightside domain songs.,inform,0,,,6,100
"inform(name[Dragostea Din Tei], genres[Eurodance], producer[Dan Balan], record_label[Polydor Records], publication_year[2003], rating[excellent])",Dragostea Din Tei genres Eurodance. Dragostea Din Tei producer Dan Balan. Dragostea Din Tei record label Polydor Records. Dragostea Din Tei publication year 2003. Dragostea Din Tei rating excellent. Dragostea Din Tei domain songs.,inform,0,,,6,100
"inform(name[About Damn Time], genres[funk], performer[Lizzo], publication_year[2022], record_label[Nice Life Recording Company], rating[good])",About Damn Time genres funk. About Damn Time performer Lizzo. About Damn Time publication year 2022. About Damn Time record label Nice Life Recording Company. About Damn Time rating good. About Damn Time domain songs.,inform,0,,,6,100
"inform(name[Poison], genres[dance-pop], rating[excellent], performer[Nicole Scherzinger], from_album[Killer Love], producer[RedOne])",Poison genres dance-pop. Poison rating excellent. Poison performer Nicole Scherzinger. Poison from album Killer Love. Poison producer RedOne. Poison domain songs.,inform,0,,,6,100
"inform(name[Cold Heart], genres[disco], rating[good], publication_year[2021], record_label[Virgin EMI Records], producer[Pnau])",Cold Heart genres disco. Cold Heart rating good. Cold Heart publication year 2021. Cold Heart record label Virgin EMI Records. Cold Heart producer Pnau. Cold Heart domain songs.,inform,0,,,6,100
"inform(name[I Still...], genres[pop music], from_album[Never Gone], producer[Max Martin], publication_year[2005], record_label[Jive Records])",I Still... genres pop music. I Still... from album Never Gone. I Still... producer Max Martin. I Still... publication year 2005. I Still... record label Jive Records. I Still... domain songs.,inform,0,,,6,100
"inform(name[Stairway to Heaven], genres[hard rock], record_label[Atlantic Records], from_album[Led Zeppelin IV], rating[excellent], producer[Jimmy Page])",Stairway to Heaven genres hard rock. Stairway to Heaven record label Atlantic Records. Stairway to Heaven from album Led Zeppelin IV. Stairway to Heaven rating excellent. Stairway to Heaven producer Jimmy Page. Stairway to Heaven domain songs.,inform,0,,,6,100
"inform(name[Break My Soul], genres[disco], performer[Beyoncé], rating[excellent], producer[The-Dream], from_album[Renaissance])",Break My Soul genres disco. Break My Soul performer Beyoncé. Break My Soul rating excellent. Break My Soul producer The-Dream. Break My Soul from album Renaissance. Break My Soul domain songs.,inform,0,,,6,100
"inform(name[Mad Love], genres[electropop], performer[Mabel], rating[excellent], producer[Steve Mac], record_label[Polydor Records])",Mad Love genres electropop. Mad Love performer Mabel. Mad Love rating excellent. Mad Love producer Steve Mac. Mad Love record label Polydor Records. Mad Love domain songs.,inform,0,,,6,100
