mr,text,word counts,,pred,,num_triples,num_hops,popularity,scores,,dacc,LM_prob,PPL,pseudo_bleu,criteria,song_name,
"inform(name[Old Town Road], genres[Southern hip hop], record_label[Columbia Records])",Old Town Road is a Southern hip hop song released by Columbia Records.,13,,inform,#REF!,3,1,popular,0.91181517,,#REF!,0.007542095726,132.5891418,13.91231164,match_scores_PPL,Old Town Road,#REF!
"inform(name[Mr. Brightside], genres[indie rock], record_label[Island Records])",Mr. Brightside is an indie rock song released on Island Records.,11,,inform,#REF!,3,1,popular,0.8843479,,#REF!,0.004348159556,229.9823608,14.45892467,match_scores,Mr. Brightside,#REF!
"inform(name[Apple Shampoo], genres[pop punk], record_label[MCA Records])",Apple Shampoo is a pop punk song released by MCA Records.,11,,inform,#REF!,3,1,not so popular,0.9102065,,#REF!,0.003975445606,251.5441284,7.495553473,match_scores_PPL,Apple Shampoo,#REF!
"inform(name[Seven Nation Army], genres[alternative rock], is_from_album[True])",Seven Nation Army is an alternative rock song from an album.,11,,inform,#REF!,3,1,popular,0.7457792,,#REF!,0.004266177834,234.4018555,12.60596809,match_scores_PPL,Seven Nation Army,#REF!
"inform(name[Sweet Home Alabama], genres[rock music], from_album[Second Helping])",Sweet Home Alabama is a rock music song from the album Second Helping.,13,,inform,#REF!,3,1,popular,0.87488806,,#REF!,0.004085074214,244.7935944,13.29241788,match_scores_PPL,Sweet Home Alabama,#REF!
"inform(name[Stargazing], genres[tropical house], producer[Kygo])",Stargazing is a tropical house song by Kygo.,8,,inform,#REF!,3,1,not so popular,0.9258684,,#REF!,0.002731400503,366.1125488,5.669791111,match_scores,Stargazing,#REF!
"inform(name[Style], genres[synth-pop], instance_of[song])",Style is a synth-pop song.,5,,inform,#REF!,3,1,popular,0.95197403,,#REF!,0.004484737003,222.9785156,8.116697887,match_scores,Style,#REF!
"inform(name[Break My Soul], genres[electropop], from_album[Renaissance])",Break My Soul is an electropop song from the album Renaissance.,11,,inform,#REF!,3,1,popular,0.8482608,,#REF!,0.006850300202,145.9790039,13.54599427,match_scores_PPL,Break My Soul,#REF!
"inform(name[For a Friend], genres[pop music], performer[The Communards])",For a Friend is a pop music by The Communards.,10,,inform,#REF!,3,1,not so popular,0.9496467,,#REF!,0.002340751165,427.2132874,8.913765521,match_scores,For a Friend,#REF!
"inform(name[Break My Soul], genres[house music], rating[excellent])",Break My Soul is an excellent house music song.,9,,give_opinion,#REF!,3,1,popular,0.89906675,,#REF!,0.0030549695,327.3355103,15.61969968,all_scores_PPL,Break My Soul,#REF!
"inform(name[About Damn Time], genres[disco], record_label[Atlantic Records])",About Damn Time is a disco record released by Atlantic Records.,11,,inform,#REF!,3,1,popular,0.904653,,#REF!,0.005271029405,189.7162628,15.85116569,match_scores,About Damn Time,#REF!
"inform(name[Style], genres[funk], from_album[1989])"," ""Style"" is a funk song from the 1989 album.",9,,inform,#REF!,3,1,popular,0.74852157,,#REF!,0.01008784923,99.12915802,4.027248192,match_scores_PPL,Style,#REF!
"inform(name[Afterlife], genres[indie rock], rating[good])",Afterlife is a good indie rock song.,7,,inform,#REF!,3,1,not so popular,0.89468783,,#REF!,0.003174601944,315.0001221,5.522397784,match_scores_PPL,Afterlife,#REF!
"inform(name[We Are the World], genres[pop music], is_from_album[True])",We Are the World is a pop music song from an album.,12,,inform,#REF!,3,1,popular,0.66435456,,#REF!,0.007394416097,135.2371826,6.837203339,match_scores_PPL,We Are the World,#REF!
"inform(name[Over It], genres[pop music], record_label[Inc.])",Over It is a pop music song released by Inc.,10,,inform,#REF!,3,1,not so popular,0.8107007,,#REF!,0.003107532694,321.7987061,10.60031338,match_scores_PPL,Over It,#REF!
"inform(name[Kings of the Wild Frontier], genres[post-punk], publication_year[1980])",Kings of the Wild Frontier is a post-punk song from 1980.,11,,inform,#REF!,3,1,not so popular,0.9239902,,#REF!,0.009239261646,108.233757,8.054496385,match_scores,Kings of the Wild Frontier,#REF!
"inform(name[Blurred Lines], genres[contemporary R&B], publication_year[2013])",Blurred Lines was released in 2013 and is a contemporary R&B song.,12,,inform,#REF!,3,1,popular,0.8669317,,#REF!,0.02809609976,35.59212875,12.87433051,match_scores,Blurred Lines,#REF!
"inform(name[I], genres[hip hop music], producer[Rahki])",I is a hip hop song produced by Rahki.,9,,inform,#REF!,3,1,popular,0.8483671,,#REF!,0.002473744398,404.2454834,4.990049702,match_scores_PPL,I,#REF!
"inform(name[Hold My Hand], genres[arena rock], is_from_album[False])"," Hold My Hand is an arena rock song, not from an album.",12,,inform,#REF!,3,1,popular,0.6644904,,#REF!,0.005959749141,167.7922974,10.57107086,match_scores,Hold My Hand,#REF!
"inform(name[Dragostea Din Tei], genres[Eurodance], is_from_album[True])",Dragostea Din Tei is an Eurodance song from an album.,10,,inform,#REF!,3,1,popular,0.836907,,#REF!,0.001380507294,724.3713989,14.99110695,match_scores,Dragostea Din Tei,#REF!
"inform(name[Take My Breath Away], genres[synth-pop], is_from_album[True])",Take My Breath Away is a synth-pop song from an album.,11,,inform,#REF!,3,1,popular,0.6927687,,#REF!,0.01628842563,61.39328766,21.20062676,match_scores_PPL,Take My Breath Away,#REF!
"inform(name[Bitter Sweet Symphony], genres[alternative rock], performer[The Verve])",Bitter Sweet Symphony by The Verve is an alternative rock song.,11,,inform,#REF!,3,1,popular,0.9312911,,#REF!,0.007845429618,127.4627457,15.85116569,match_scores_PPL,Bitter Sweet Symphony,#REF!
"inform(name[Careless Whisper], genres[pop music], publication_year[1984])",Careless Whisper is a 1984 pop music song.,8,,inform,#REF!,3,1,popular,0.9348514,,#REF!,0.00417152122,239.7207031,10.55267032,match_scores,Careless Whisper,#REF!
"inform(name[Mad Love], genres[electropop], instance_of[single])",Mad Love is an electropop single.,6,,inform,#REF!,3,1,not so popular,0.94683033,,#REF!,0.00350805596,285.0581665,13.13454947,match_scores_PPL,Mad Love,#REF!
"inform(name[Break My Soul], genres[dance-pop], record_label[Parkwood Entertainment])",Break My Soul is a dance-pop song released by Parkwood Entertainment.,11,,inform,#REF!,3,1,popular,0.9062307,,#REF!,0.00701848478,142.480896,15.85116569,match_scores_PPL,Break My Soul,#REF!
"inform(name[Marilyn Monroe], genres[funk], record_label[Columbia Records])",Marilyn Monroe by Columbia Records is a funk song.,9,,inform,#REF!,3,1,not so popular,0.926985,,#REF!,0.002932449494,341.0118408,11.86840522,match_scores,Marilyn Monroe,#REF!
"inform(name[So Good], genres[pop rap], from_album[Strange Clouds])",So Good is a pop rap song from the album Strange Clouds.,12,,inform,#REF!,3,1,not so popular,0.7888239,,#REF!,0.004690415138,213.2007446,8.737167852,match_scores_PPL,So Good,#REF!
"inform(name[Macarena], genres[flamenco], producer[Los del Río])",Macarena by Los del Río is a flamenco song.,9,,inform,#REF!,3,1,popular,0.9391458,,#REF!,0.007853798737,127.3269196,5.522397784,match_scores,Macarena,#REF!
"inform(name[About Damn Time], genres[disco], instance_of[single])",About Damn Time is a disco single.,7,,inform,#REF!,3,1,popular,0.93112993,,#REF!,0.001250862717,799.4482422,20.55668085,match_scores_PPL,About Damn Time,#REF!
"inform(name[Mr. Brightside], genres[indie rock], from_album[Hot Fuss])",Mr. Brightside is an indie rock song from the album Hot Fuss.,12,,inform,#REF!,3,1,popular,0.82746905,,#REF!,0.009167960318,109.0755157,13.29241788,match_scores_PPL,Mr. Brightside,#REF!
"inform(name[Style], genres[synth-pop], performer[Taylor Swift])",Style is a synth-pop song by Taylor Swift.,8,,inform,#REF!,3,1,popular,0.91653794,,#REF!,0.01063635893,94.01713562,10.55267032,match_scores_PPL,Style,#REF!
"inform(name[Stereotypes], genres[Britpop], from_album[The Great Escape])",Stereotypes is a Britpop song from the album The Great Escape.,11,,inform,#REF!,3,1,not so popular,0.8226664,,#REF!,0.01112425202,89.89368439,14.32314508,match_scores_PPL,Stereotypes,#REF!
"inform(name[Cold Heart], genres[disco], performer[Dua Lipa, Elton John])",Cold Heart is a disco song performed by Dua Lipa and Elton John.,13,,inform,#REF!,3,1,popular,0.9245357,,#REF!,0.01461396562,68.42769623,9.837489906,match_scores_PPL,Cold Heart,#REF!
"inform(name[Paint It Black], genres[rock music], from_album[Aftermath])",Paint It Black is a rock music from the Aftermath album.,11,,inform,#REF!,3,1,popular,0.84128296,,#REF!,0.005743680208,174.1044006,13.54599427,match_scores,Paint It Black,#REF!
"inform(name[Stairway to Heaven], genres[progressive rock], is_from_album[True])",Stairway to Heaven is a progressive rock song from an album.,11,,inform,#REF!,3,1,popular,0.7319586,,#REF!,0.01755224448,56.97277069,4.027248192,match_scores_PPL,Stairway to Heaven,#REF!
"inform(name[Hold My Hand], genres[arena rock], record_label[Interscope Records])",Hold My Hand is an arena rock song released by Interscope Records.,12,,inform,#REF!,3,1,popular,0.884642,,#REF!,0.0156767859,63.78858566,14.45892467,match_scores_PPL,Hold My Hand,#REF!
"inform(name[Style], genres[pop rock], record_label[Republic Records])",Style is a pop rock song released by Republic Records.,10,,inform,#REF!,3,1,popular,0.86072266,,#REF!,0.005653147453,176.8926086,8.295193507,match_scores_PPL,Style,#REF!
"inform(name[Dragostea Din Tei], genres[Eurodance], publication_year[2003])",Dragostea Din Tei is a Eurodance song released in 2003.,10,,inform,#REF!,3,1,popular,0.90088475,,#REF!,0.002220308122,450.3879395,15.85116569,match_scores_PPL,Dragostea Din Tei,#REF!
"inform(name[Mr. Brightside], genres[indie rock], is_from_album[True])",Mr. Brightside is an indie rock song from an album.,10,,inform,#REF!,3,1,popular,0.683804,,#REF!,0.004621433279,216.3830872,12.60596809,match_scores_PPL,Mr. Brightside,#REF!
"inform(name[In My Bed], genres[soul music], record_label[Island Records])",In My Bed is a soul music track released by Island Records.,12,,inform,#REF!,3,1,not so popular,0.8867825,,#REF!,0.004977593386,200.9002991,14.45892467,match_scores,In My Bed,#REF!
"inform(name[Every Breath You Take], genres[pop rock], producer[Stewart Copeland])",Every Breath You Take is a pop rock song produced by Stewart Copeland.,13,,inform,#REF!,3,1,popular,0.89917403,,#REF!,0.01000929742,99.90711212,21.14214171,match_scores_PPL,Every Breath You Take,#REF!
"inform(name[Y.M.C.A.], genres[disco], is_from_album[True])",Y.M.C.A. is a disco song from an album.,8,,inform,#REF!,3,1,popular,0.7359117,,#REF!,0.01636641327,61.10074234,44.28500143,match_scores_PPL,Y.M.C.A.,#REF!
"inform(name[Dog Eat Dog], genres[new wave], instance_of[musical work/composition])",Dog Eat Dog is a new wave musical work/composition.,9,,inform,#REF!,3,1,not so popular,0.976218,,#REF!,0.003572341997,279.9284058,13.54599427,match_scores_PPL,Dog Eat Dog,#REF!
"inform(name[Dog Eat Dog], genres[new wave], from_album[Kings of the Wild Frontier])",Dog Eat Dog is a new wave song from the album Kings of the Wild Frontier.,16,,inform,#REF!,3,1,not so popular,0.88039255,,#REF!,0.006574880257,152.0940247,11.20375434,match_scores_PPL,Dog Eat Dog,#REF!
"inform(name[Feel Again], genres[pop music], from_album[Native])"," ""Feel Again"" is a pop music song from the album Native.",11,,inform,#REF!,3,1,not so popular,0.78048676,,#REF!,0.01079386794,92.64519501,6.285596338,match_scores_PPL,Feel Again,#REF!
"inform(name[Marilyn Monroe], genres[funk], is_from_album[True])",Marilyn Monroe is a funk song from an album.,9,,inform,#REF!,3,1,not so popular,0.72127455,,#REF!,0.004874514137,205.1486511,8.392229813,match_scores_PPL,Marilyn Monroe,#REF!
"inform(name[Mr. Brightside], genres[indie rock], publication_year[2003])",Mr. Brightside is an indie rock song from 2003.,9,,inform,#REF!,3,1,popular,0.84182334,,#REF!,0.005046317846,198.1642914,14.99110695,match_scores_PPL,Mr. Brightside,#REF!
"inform(name[Black Barbies], genres[hip hop music], rating[excellent])",Black Barbies is an excellent hip hop music song.,9,,inform,#REF!,3,1,not so popular,0.93614954,,#REF!,0.004874621457,205.1441345,8.392229813,match_scores_PPL,Black Barbies,#REF!
"inform(name[Matador], genres[candombe], record_label[Sony Music])",Matador is a candombe song released by Sony Music.,9,,inform,#REF!,3,1,not so popular,0.90961117,,#REF!,0.001623972144,615.7741089,9.287529,match_scores_PPL,Matador,#REF!
"inform(name[Blurred Lines], genres[contemporary R&B], instance_of[single])",Blurred Lines is a contemporary R&B single.,7,,inform,#REF!,3,1,popular,0.953313,,#REF!,0.01533343363,65.21696472,19.64073255,match_scores_PPL,Blurred Lines,#REF!
"inform(name[Feel Again], genres[pop music], performer[OneRepublic])",Feel Again is a pop song performed by OneRepublic.,9,,inform,#REF!,3,1,not so popular,0.8165089,,#REF!,0.00414824376,241.0658722,8.392229813,match_scores_PPL,Feel Again,#REF!
"inform(name[All or Nothing], genres[pop music], from_album[Girl You Know It's True])",All or Nothing is a pop song from the album Girl You Know It's True.,15,,inform,#REF!,3,1,not so popular,0.76816803,,#REF!,0.0201830459,49.54653549,10.82597837,match_scores,All or Nothing,#REF!
"inform(name[As It Was], genres[new wave], is_from_album[True])",As It Was is a New Wave song from an album.,11,,inform,#REF!,3,1,popular,0.5115119,,#REF!,0.003554300983,281.3492737,15.85116569,match_scores_PPL,As It Was,#REF!
"inform(name[All or Nothing], genres[pop music], publication_year[1990])",All or Nothing is a pop music song released in 1990.,11,,inform,#REF!,3,1,not so popular,0.87647665,,#REF!,0.01562830876,63.9864502,4.456882761,match_scores_PPL,All or Nothing,#REF!
"inform(name[Poison], genres[dance-pop], performer[Nicole Scherzinger])",Poison is a dance-pop song performed by Nicole Scherzinger.,9,,inform,#REF!,3,1,not so popular,0.9205817,,#REF!,0.01557089747,64.22237396,9.287529,match_scores_PPL,Poison,#REF!
"inform(name[Habibi], genres[reggaeton], instance_of[single])",Habibi is a reggaeton single.,5,,inform,#REF!,3,1,not so popular,0.9700142,,#REF!,0.00222522166,449.3934326,8.116697887,match_scores_PPL,Habibi,#REF!
"inform(name[Break My Soul], genres[electropop], instance_of[single])",Break My Soul is an electropop single.,7,,inform,#REF!,3,1,popular,0.95051306,,#REF!,0.003005541191,332.7187805,20.55668085,match_scores_PPL,Break My Soul,#REF!
"inform(name[Pumped Up Kicks], genres[pop rock], is_from_album[True], producer[Mark Foster])",Pumped Up Kicks is a pop rock song from the album produced by Mark Foster.,15,,inform,#REF!,4,1,popular,0.7616123,,#REF!,0.00920843448,108.5960922,11.44707843,match_scores,Pumped Up Kicks,#REF!
"inform(name[Habibi], genres[reggaeton], rating[excellent], publication_year[2014])",Habibi is an excellent reggaeton song from 2014.,8,,inform,#REF!,4,1,not so popular,0.937721,,#REF!,0.004764033293,209.9061737,5.669791111,match_scores_PPL,Habibi,#REF!
"inform(name[Habibi], genres[reggaeton], rating[excellent], instance_of[single])",Habibi is an excellent reggaeton single.,6,,inform,#REF!,4,1,not so popular,0.9732553,,#REF!,0.002889278676,346.1071472,6.567274736,match_scores_PPL,Habibi,#REF!
"inform(name[Sweet Home Alabama], genres[rock music], record_label[MCA Records], is_from_album[True])",Sweet Home Alabama is a rock music song released by MCA Records from the album.,15,,inform,#REF!,4,1,popular,0.8496632,,#REF!,0.007741994627,129.1656799,9.782375749,match_scores,Sweet Home Alabama,#REF!
"inform(name[Cold Heart], genres[disco], is_from_album[False], rating[good])",Cold Heart is a good disco song.,7,,give_opinion,#REF!,4,1,popular,0.7906324,,#REF!,0.002134369948,468.5223389,11.04479557,all_scores_PPL,Cold Heart,#REF!
"inform(name[Anti-Hero], genres[synth-pop], from_album[Midnights], instance_of[musical work/composition])",Anti-Hero is a synth-pop song from the album Midnights. It is a musical composition.,14,,inform,#REF!,4,1,popular,0.72900313,,#REF!,0.01934446052,51.69438553,2.908317711,match_scores,Anti-Hero,#REF!
"inform(name[Anti-Hero], genres[synth-pop], record_label[Republic Records], producer[Taylor Swift])",Anti-Hero is a synth-pop song by Taylor Swift that was released on Republic Records.,14,,inform,#REF!,4,1,popular,0.9138458,,#REF!,0.02032419598,49.20243835,7.859438682,match_scores,Anti-Hero,#REF!
"inform(name[Paint It Black], genres[rock music], producer[Andrew Loog Oldham], instance_of[single])",Paint It Black is a rock music single produced by Andrew Loog Oldham.,13,,inform,#REF!,4,1,popular,0.9555052,,#REF!,0.00440688064,226.9178772,17.77835118,match_scores_PPL,Paint It Black,#REF!
"inform(name[In My Bed], genres[soul music], from_album[Frank], instance_of[single])",In My Bed by Frank is a soul music single.,10,,inform,#REF!,4,1,not so popular,0.94913113,,#REF!,0.001394905326,716.8945313,14.99110695,match_scores,In My Bed,#REF!
"inform(name[Old Town Road], genres[Southern hip hop], publication_year[2018], producer[Trent Reznor])",Old Town Road is a 2018 Southern hip hop song produced by Trent Reznor.,14,,inform,#REF!,4,1,popular,0.9420282,,#REF!,0.007817824738,127.9128189,13.38016138,match_scores,Old Town Road,#REF!
"inform(name[Stairway to Heaven], genres[hard rock], rating[excellent], publication_year[1971])",Stairway to Heaven is an excellent hard rock song from 1971.,11,,inform,#REF!,4,1,popular,0.9202091,,#REF!,0.0197852532,50.54269409,4.456882761,match_scores_PPL,Stairway to Heaven,#REF!
"inform(name[Waka Waka], genres[pop rock], producer[John Hill], rating[excellent])",Waka Waka is an excellent pop rock song produced by John Hill.,12,,inform,#REF!,4,1,popular,0.94239396,,#REF!,0.01112199789,89.91190338,8.737167852,match_scores_PPL,Waka Waka,#REF!
"inform(name[Feel Again], genres[pop music], from_album[Native], record_label[Mosley Music Group])",Feel Again is a pop music song from the album Native released by Mosley Music Group.,16,,inform,#REF!,4,1,not so popular,0.8874922,,#REF!,0.004813710378,207.7399597,11.20375434,match_scores,Feel Again,#REF!
"inform(name[Cold Heart], genres[disco], performer[Dua Lipa, Elton John], record_label[Virgin EMI Records])",Cold Heart is a disco song released by Dua Lipa and Elton John on Virgin EMI Records.,17,,inform,#REF!,4,1,popular,0.93968725,,#REF!,0.01232551463,81.13251495,7.994607499,match_scores,Cold Heart,#REF!
"inform(name[Blinding Lights], genres[electropop], instance_of[single], performer[The Weeknd])",Blinding Lights is an electropop single by The Weeknd.,9,,inform,#REF!,4,1,popular,0.96262306,,#REF!,0.007015185153,142.5479126,11.86840522,match_scores_PPL,Blinding Lights,#REF!
"inform(name[Blurred Lines], genres[contemporary R&B], performer[Robin Thicke, Pharrell Williams], is_from_album[True])"," Blurred Lines is a contemporary R&B song performed by Robin Thicke and Pharrell Williams, from an album.",17,,inform,#REF!,4,1,popular,0.8522557,,#REF!,0.03630000149,27.54820824,11.48592968,match_scores,Blurred Lines,#REF!
"inform(name[Break My Soul], genres[disco], publication_year[2022], instance_of[single])",Break My Soul is a 2022 disco single.,8,,inform,#REF!,4,1,popular,0.966415,,#REF!,0.0005154163081,1940.179199,19.07082808,match_scores_PPL,Break My Soul,#REF!
"inform(name[All or Nothing], genres[pop music], instance_of[single], is_from_album[True])",All or Nothing is a pop music single from an album.,11,,inform,#REF!,4,1,not so popular,0.7320119,,#REF!,0.0120589604,82.92588806,4.027248192,match_scores_PPL,All or Nothing,#REF!
"inform(name[Stargazing], genres[tropical house], rating[excellent], instance_of[single])",Stargazing is an excellent tropical house single.,7,,inform,#REF!,4,1,not so popular,0.9656354,,#REF!,0.001073210667,931.7835083,5.522397784,match_scores_PPL,Stargazing,#REF!
"inform(name[Dragostea Din Tei], genres[Eurodance], is_from_album[True], instance_of[musical work/composition])",Dragostea Din Tei is a Eurodance song from an album and is a musical work/composition.,15,,inform,#REF!,4,1,popular,0.85355854,,#REF!,0.003119275644,320.5872498,9.083627868,match_scores,Dragostea Din Tei,#REF!
"inform(name[Kings of the Wild Frontier], genres[post-punk], publication_year[1980], performer[Adam and the Ants])",Kings of the Wild Frontier is a post-punk song from 1980 by Adam and the Ants.,16,,inform,#REF!,4,1,not so popular,0.94037795,,#REF!,0.01161639795,86.08520508,6.019608769,match_scores,Kings of the Wild Frontier,#REF!
"inform(name[Mr. Brightside], genres[indie rock], is_from_album[True], instance_of[single])",Mr. Brightside is an indie rock single from an album.,10,,inform,#REF!,4,1,popular,0.7635119,,#REF!,0.005634540517,177.4767609,12.60596809,match_scores_PPL,Mr. Brightside,#REF!
"inform(name[Matador], genres[candombe], rating[excellent], performer[Los Fabulosos Cadillacs])",Matador is an excellent candombe performed by Los Fabulosos Cadillacs.,10,,inform,#REF!,4,1,not so popular,0.9734113,,#REF!,0.002862805415,349.3077087,14.99110695,match_scores,Matador,#REF!
"inform(name[I Was Gonna Cancel], genres[synth-pop], performer[Kylie Minogue], is_from_album[True])",I Was Gonna Cancel is a synth-pop song by Kylie Minogue from an album.,14,,inform,#REF!,4,1,not so popular,0.8292255,,#REF!,0.01604827412,62.31199646,19.5647515,match_scores_PPL,I Was Gonna Cancel,#REF!
"inform(name[Marilyn Monroe], genres[funk], rating[excellent], instance_of[single])",Marilyn Monroe is an excellent funk single.,7,,give_opinion,#REF!,4,1,not so popular,0.9630846,,#REF!,0.001431260033,698.6850586,11.04479557,all_scores_PPL,Marilyn Monroe,#REF!
"inform(name[We Are the World], genres[gospel music], producer[Quincy Jones], rating[excellent])",We Are the World is an excellent gospel music song produced by Quincy Jones.,14,,inform,#REF!,4,1,popular,0.9309248,,#REF!,0.006350935919,157.4571075,7.859438682,match_scores_PPL,We Are the World,#REF!
"inform(name[Macarena], genres[Eurodance], instance_of[musical work/composition], publication_year[1993])",Macarena is a 1993 Eurodance musical work/composition.,7,,inform,#REF!,4,1,popular,0.97795963,,#REF!,0.004470193469,223.7039642,5.93420261,match_scores,Macarena,#REF!
"inform(name[Matador], genres[candombe], instance_of[musical work/composition], performer[Los Fabulosos Cadillacs])",Matador is a candombe musical work/composition by Los Fabulosos Cadillacs.,10,,inform,#REF!,4,1,not so popular,0.985057,,#REF!,0.002554499046,391.4661865,13.0651133,match_scores,Matador,#REF!
"inform(name[Somebody That I Used to Know], genres[indie pop], rating[excellent], is_from_album[True])",Somebody That I Used to Know is an excellent indie pop song from an album.,15,,give_opinion,#REF!,4,1,popular,0.69747865,,#REF!,0.01109149212,90.15919495,16.18861357,all_scores_PPL,Somebody That I Used to Know,#REF!
"inform(name[As It Was], genres[new wave], record_label[Columbia Records], publication_year[2022])",As It Was is a 2022 new wave song released by Columbia Records.,13,,inform,#REF!,4,1,popular,0.90155596,,#REF!,0.002363530255,423.0959167,13.91231164,match_scores,As It Was,#REF!
"inform(name[All or Nothing], genres[pop music], performer[Milli Vanilli], record_label[Arista Records])",All or Nothing is a pop music song by Milli Vanilli on Arista Records.,14,,inform,#REF!,4,1,not so popular,0.95185196,,#REF!,0.01847607873,54.1240387,8.2259647,match_scores_PPL,All or Nothing,#REF!
"inform(name[Black Barbies], genres[hip hop music], publication_year[2016], is_from_album[False])",Black Barbies is a hip hop music song released in 2016. It is not part of any album.,18,,inform,#REF!,4,1,not so popular,0.78235435,,#REF!,0.01995045112,50.12417984,4.2377132,match_scores,Black Barbies,#REF!
"inform(name[Sweet Home Alabama], genres[rock music], rating[excellent], producer[Al Kooper])",Sweet Home Alabama is an excellent rock music song produced by Al Kooper.,13,,inform,#REF!,4,1,popular,0.9365086,,#REF!,0.004652656304,214.9309845,13.29241788,match_scores_PPL,Sweet Home Alabama,#REF!
"inform(name[Wild], genres[synth-pop], performer[Troye Sivan], from_album[Blue Neighbourhood])",Wild is a synth-pop song by Troye Sivan from the album Blue Neighbourhood.,13,,inform,#REF!,4,1,not so popular,0.8830987,,#REF!,0.02044017201,48.92326736,8.493098745,match_scores_PPL,Wild,#REF!
"inform(name[Black Barbies], genres[hip hop music], rating[excellent], producer[Mike WiLL Made-It])",Black Barbies is an excellent hip hop song produced by Mike WiLL Made-It.,13,,inform,#REF!,4,1,not so popular,0.9111322,,#REF!,0.01417592282,70.54214478,6.754312829,match_scores_PPL,Black Barbies,#REF!
"inform(name[Sweet Home Alabama], genres[rock music], publication_year[1974], from_album[Second Helping])",Sweet Home Alabama is a rock music song from the 1974 album Second Helping.,14,,inform,#REF!,4,1,popular,0.90541255,,#REF!,0.004841880851,206.531311,12.87433051,match_scores_PPL,Sweet Home Alabama,#REF!
"inform(name[Careless Whisper], genres[pop music], is_from_album[True], from_album[Make It Big])",Careless Whisper is a pop music song from the album Make It Big.,13,,inform,#REF!,4,1,popular,0.75735307,,#REF!,0.009967033326,100.3307571,13.29241788,match_scores_PPL,Careless Whisper,#REF!
"inform(name[King of Sorrow], genres[contemporary R&B], instance_of[single], rating[excellent])",King of Sorrow is an excellent contemporary R&B single.,9,,inform,#REF!,4,1,not so popular,0.96508574,,#REF!,0.01036418807,96.48609161,14.32314508,match_scores_PPL,King of Sorrow,#REF!
"inform(name[Right Here, Right Now], genres[electro], performer[Giorgio Moroder], instance_of[single])"," Right Here, Right Now is an electro single by Giorgio Moroder.",11,,inform,#REF!,4,1,not so popular,0.97197634,,#REF!,0.01549909652,64.51988983,33.26024951,match_scores,"Right Here, Right Now",#REF!
"inform(name[Dragostea Din Tei], genres[Eurodance], record_label[Ultra Records], from_album[DiscO-Zone])",Dragostea Din Tei is a Eurodance song by Ultra Records from the album DiscO-Zone.,14,,inform,#REF!,4,1,popular,0.9218582,,#REF!,0.00171169173,584.2173462,12.87433051,match_scores_PPL,Dragostea Din Tei,#REF!
"inform(name[Anti-Hero], genres[synth-pop], instance_of[musical work/composition], record_label[Republic Records])",Anti-Hero is a synth-pop musical work/composition by Republic Records.,9,,inform,#REF!,4,1,popular,0.9769338,,#REF!,0.006671270538,149.8964844,8.054496385,match_scores,Anti-Hero,#REF!
"inform(name[Poison], genres[dance-pop], performer[Nicole Scherzinger], is_from_album[True])"," Poison is a dance-pop song performed by Nicole Scherzinger, which is featured on an album.",15,,inform,#REF!,4,1,not so popular,0.78802985,,#REF!,0.02305327499,43.37778473,5.061867435,match_scores_PPL,Poison,#REF!
"inform(name[Feel Again], genres[pop music], record_label[Mosley Music Group], is_from_album[True])",Feel Again is a pop music song from the Mosley Music Group album.,13,,inform,#REF!,4,1,not so popular,0.8629291,,#REF!,0.005348636667,186.9635315,13.29241788,match_scores,Feel Again,#REF!
"inform(name[We Are the World], genres[gospel music], rating[excellent], producer[Quincy Jones])",We Are the World is an excellent gospel music song produced by Quincy Jones.,14,,inform,#REF!,4,1,popular,0.93092483,,#REF!,0.006350935919,157.4571075,7.859438682,match_scores_PPL,We Are the World,#REF!
"inform(name[Dragostea Din Tei], genres[Eurodance], producer[Dan Balan], from_album[DiscO-Zone])",Dragostea Din Tei is a Eurodance song produced by Dan Balan for the album DiscO-Zone.,15,,inform,#REF!,4,1,popular,0.9256179,,#REF!,0.002416540559,413.8146973,11.98091453,match_scores,Dragostea Din Tei,#REF!
"inform(name[Stairway to Heaven], genres[progressive rock], rating[excellent], performer[Led Zeppelin])",Stairway to Heaven is an excellent progressive rock song by Led Zeppelin.,12,,inform,#REF!,4,1,popular,0.9445144,,#REF!,0.0326464796,30.63117409,7.347053126,match_scores_PPL,Stairway to Heaven,#REF!
"inform(name[I Was Gonna Cancel], genres[synth-pop], instance_of[musical work/composition], publication_year[2014])"," I Was Gonna Cancel, a 2014 synth-pop musical work, is a composition published in 2014.",15,,inform,#REF!,4,1,not so popular,0.7960078,,#REF!,0.006357171043,157.3026733,14.21664591,match_scores,I Was Gonna Cancel,#REF!
"inform(name[Que Calor], genres[Latin music], record_label[Mad Decent], publication_year[2019])",Que Calor is a 2019 Latin music song released by Mad Decent.,12,,inform,#REF!,4,1,not so popular,0.9254812,,#REF!,0.002147217837,465.7189331,9.669265691,match_scores,Que Calor,#REF!
"inform(name[Sweet Home Alabama], genres[rock music], producer[Al Kooper], from_album[Second Helping])",Sweet Home Alabama is a rock song by Al Kooper from the album Second Helping.,15,,inform,#REF!,4,1,popular,0.89985806,,#REF!,0.005029149977,198.8407593,13.38016138,match_scores,Sweet Home Alabama,#REF!
