mr,da,text,word counts,,pred,,num_triples,num_hops,popularity,scores,dacc,LM_prob,PPL,pseudo_bleu,criteria,song_name,
"inform(name[Marilyn Monroe], genres[funk], record_label[Columbia Records], publication_year[2014])",inform,Marilyn Monroe is a funk song released by Columbia Records in 2014.,12,,inform,1,4,1,not so popular,0.90950453,1,0.009757116,102.489296,9.23843021,match_scores_PPL,Marilyn Monroe,1
"inform(name[Anti-Hero], genres[synth-pop], rating[excellent], instance_of[musical work/composition])",inform,Anti-Hero is an excellent synth-pop musical work/composition.,7,,inform,1,4,1,popular,0.9758252,1,0.004840856,206.5750427,4.990049702,match_scores_PPL,Anti-Hero,1
"inform(name[Dragostea Din Tei], genres[Eurodance], record_label[Ultra Records], rating[excellent])",inform,Dragostea Din Tei is an excellent Eurodance song from Ultra Records.,11,,inform,1,4,1,popular,0.95143956,1,0.00131038,763.1375122,16.59038701,match_scores,Dragostea Din Tei,1
"inform(name[Pumped Up Kicks], genres[pop rock], performer[Foster the People], from_album[Torches])",inform,Pumped Up Kicks is a pop rock song by Foster the People from the album Torches.,16,,inform,1,4,1,popular,0.84955645,1,0.010600237,94.33750916,10.12373487,match_scores_PPL,Pumped Up Kicks,1
"inform(name[Bitter Sweet Symphony], genres[alternative rock], from_album[Urban Hymns], publication_year[1997])",inform,Bitter Sweet Symphony is an alternative rock song from the 1997 album Urban Hymns.,14,,inform,1,4,1,popular,0.90750045,1,0.010602427,94.31803131,12.87433051,match_scores_PPL,Bitter Sweet Symphony,1
"inform(name[Paint It Black], genres[rock music], publication_year[1966], rating[excellent])",inform,Paint It Black is an excellent 1966 rock song.,9,,inform,1,4,1,popular,0.91836554,1,0.002880967,347.1057129,16.78445963,match_scores,Paint It Black,1
"inform(name[Macarena], genres[music of Latin America], producer[Los del Río], rating[excellent])",inform,Macarena is an excellent music of Latin America produced by Los del Río.,13,,inform,1,4,1,popular,0.9620977,1,0.007353172,135.9957275,7.141816289,match_scores,Macarena,1
"inform(name[Money, Cash, Hoes], genres[East Coast hip hop], instance_of[single], producer[Swizz Beatz])",inform," Money, Cash, Hoes is an East Coast hip hop single produced by Swizz Beatz.",14,,inform,1,4,1,not so popular,0.9649583,1,0.013767748,72.63352203,27.44348134,match_scores_PPL,"Money, Cash, Hoes",1
"inform(name[Somebody That I Used to Know], genres[art pop], rating[excellent], record_label[Eleven: A Music Company])",inform,Somebody That I Used to Know is an excellent art pop song released by Eleven: A Music Company.,18,,inform,1,4,1,popular,0.90624565,1,0.006120749,163.3786926,30.82627646,match_scores_PPL,Somebody That I Used to Know,1
"inform(name[Apple Shampoo], genres[pop punk], producer[Mark Trombino], rating[good])",inform,Apple Shampoo is a good pop punk song produced by Mark Trombino.,12,,inform,1,4,1,not so popular,0.92309767,1,0.004003509,249.7808838,8.737167852,match_scores_PPL,Apple Shampoo,1
"inform(name[Bitter Sweet Symphony], genres[alternative rock], instance_of[single], is_from_album[True])",inform,Bitter Sweet Symphony is an alternative rock single from an album.,11,,inform,1,4,1,popular,0.83275235,1,0.004620424,216.4303436,12.60596809,match_scores_PPL,Bitter Sweet Symphony,1
"inform(name[King of Sorrow], genres[contemporary R&B], publication_year[2001], instance_of[single])",inform,King of Sorrow is a 2001 contemporary R&B single.,9,,inform,1,4,1,not so popular,0.97093874,1,0.007789727,128.3742065,14.99110695,match_scores_PPL,King of Sorrow,1
"inform(name[Careless Whisper], genres[pop music], record_label[Columbia Records], publication_year[1984])",inform,Careless Whisper is a pop music song released in 1984 by Columbia Records.,13,,inform,1,4,1,popular,0.9294924,1,0.016581348,60.30872726,8.493098745,match_scores,Careless Whisper,1
"inform(name[Style], genres[pop rock], publication_year[2015], performer[Taylor Swift])",inform,Style is a pop rock song from 2015 by Taylor Swift.,11,,inform,1,4,1,popular,0.90461296,1,0.008131248,122.9823456,8.054496385,match_scores,Style,1
"inform(name[Seven Nation Army], genres[garage rock], record_label[XL Recordings], instance_of[single])",inform,Seven Nation Army is a garage rock single released by XL Recordings.,12,,inform,1,4,1,popular,0.9493113,1,0.007640163,130.8872528,12.35622127,match_scores_PPL,Seven Nation Army,1
"inform(name[King of Sorrow], genres[contemporary R&B], performer[Sade], rating[excellent])",inform,King of Sorrow is an excellent contemporary R&B song by Sade.,11,,inform,1,4,1,not so popular,0.9326051,1,0.011954412,83.65112305,12.57119268,match_scores_PPL,King of Sorrow,1
"inform(name[Dog Eat Dog], genres[new wave], is_from_album[True], producer[Chris Hughes])",inform,Dog Eat Dog is a new wave song from an album produced by Chris Hughes.,15,,inform,1,4,1,not so popular,0.81049055,1,0.008735794,114.4715652,11.44707843,match_scores_PPL,Dog Eat Dog,1
"inform(name[Somebody That I Used to Know], genres[art pop], performer[Gotye, Kimbra], publication_year[2011])",inform,Somebody That I Used to Know is a 2011 art pop song performed by Gotye and Kimbra.,17,,inform,1,4,1,popular,0.9074417,1,0.008786858,113.8063202,15.989215,match_scores,Somebody That I Used to Know,1
"inform(name[All or Nothing], genres[pop music], from_album[Girl You Know It's True], performer[Milli Vanilli])",inform," All or Nothing is a pop music song by Milli Vanilli from the album, Girl You Know It's Yes.",19,,inform,1,4,1,not so popular,0.84127915,1,0.018041357,55.42820358,9.246523455,match_scores,All or Nothing,1
"inform(name[Over It], genres[contemporary R&B], publication_year[2007], instance_of[single])",inform,Over It is a 2007 contemporary R&B single.,8,,inform,1,4,1,not so popular,0.95488226,1,0.002652364,377.0221558,18.36028135,match_scores_PPL,Over It,1
"inform(name[I], genres[hip hop music], instance_of[single], record_label[Aftermath Entertainment])",inform,I is a hip hop single released by Aftermath Entertainment.,10,,inform,1,4,1,popular,0.81441885,1,0.005194489,192.511734,8.295193507,match_scores_PPL,I,1
"inform(name[Feel Again], genres[pop music], is_from_album[True], from_album[Native])",inform," ""Feel Again"" is a pop music song from the album Native.",11,,inform,1,4,1,not so popular,0.705078,1,0.010793868,92.64519501,6.285596338,match_scores_PPL,Feel Again,1
"inform(name[Wild], genres[synth-pop], record_label[Universal Music Australia], rating[excellent])",inform,Wild is an excellent synth-pop song by Universal Music Australia.,10,,inform,1,4,1,not so popular,0.94220585,1,0.004864785,205.5589294,14.99110695,match_scores_PPL,Wild,1
"inform(name[For a Friend], genres[pop music], rating[mediocre], instance_of[single])",inform,For a Friend is a mediocre pop music single.,9,,give_opinion,0,4,1,not so popular,0.9518947,0,0.002354881,424.6499939,4.990049702,all_scores_PPL,For a Friend,0
"inform(name[The Way I Are], genres[pop music], producer[Joel Little], performer[Bebe Rexha], rating[excellent])",inform,The Way I Are is an excellent pop music song produced by Joel Little and performed by Bebe Rexha.,19,,inform,1,5,1,not so popular,0.86909145,1,0.011395118,87.75688171,16.19557013,match_scores_PPL,The Way I Are,1
"inform(name[Macarena], genres[Eurodance], is_from_album[True], producer[Los del Río], rating[excellent])",inform,Macarena is an excellent Eurodance song from the album by Los del Río.,13,,inform,1,5,1,popular,0.8441439,1,0.008900089,112.358429,4.016138436,match_scores,Macarena,1
"inform(name[Evolution], genres[nu metal], record_label[EMI], from_album[Untitled Korn album], publication_year[2007])",inform," Evolution is a nu metal song from the 2007 Untitled Korn album, published by EMI.",15,,inform,1,5,1,not so popular,0.9204486,1,0.008503579,117.5975494,5.439330544,match_scores,Evolution,1
"inform(name[Poison], genres[dance-pop], from_album[Killer Love], record_label[Interscope Records], is_from_album[True])",inform," Poison is a dance-pop song from Killer Love, released by Interscope Records.",12,,inform,1,5,1,not so popular,0.8430784,1,0.018334941,54.5406723,8.493098745,match_scores,Poison,1
"inform(name[Marilyn Monroe], genres[funk], record_label[Columbia Records], is_from_album[True], producer[Pharrell Williams])",inform,Marilyn Monroe is a funk song produced by Pharrell Williams and released by Columbia Records on an album.,18,,inform,1,5,1,not so popular,0.8404727,1,0.017025568,58.73519135,7.01288758,match_scores,Marilyn Monroe,1
"inform(name[Black Barbies], genres[hip hop music], is_from_album[False], producer[Mike WiLL Made-It], rating[excellent])",inform,Black Barbies is an excellent hip hop song produced by Mike WiLL Made-It.,13,,inform,1,5,1,not so popular,0.8796068,1,0.014175923,70.54214478,6.754312829,match_scores_PPL,Black Barbies,1
"inform(name[Money, Cash, Hoes], genres[East Coast hip hop], is_from_album[True], rating[good], performer[DMX, Jay-Z])",inform," Money, Cash, Hoes is a good East Coast hip hop song from an album, performed by DMX and Jay-Z.",19,,inform,1,5,1,not so popular,0.8777482,1,0.012071226,82.84162903,18.87952177,match_scores_PPL,"Money, Cash, Hoes",1
"inform(name[Waka Waka], genres[pop rock], rating[excellent], record_label[Epic Records], from_album[Listen Up! The Official 2010 FIFA World Cup Album])",inform," Waka Waka is an excellent pop rock song from the Listen Up! The Official 2010 FIFA World Cup Album, released by Epic Records.",23,,inform,1,5,1,popular,0.9584506,1,0.01018619,98.1721344,26.44576726,match_scores,Waka Waka,1
"inform(name[Right Here, Right Now], genres[electro], is_from_album[True], from_album[Déjà Vu], producer[Giorgio Moroder])",inform," Right Here, Right Now is an electro song from Giorgio Moroder's album Déjà Vu.",14,,inform,1,5,1,not so popular,0.85935146,1,0.027005791,37.0290947,27.22589423,match_scores,"Right Here, Right Now",1
"inform(name[Over It], genres[sentimental ballad], performer[Katharine McPhee], producer[Josh Alexander], is_from_album[True])",inform," ""Over It"" is a sentimental ballad by Katharine McPhee produced by Josh Alexander, from her album.",16,,inform,1,5,1,not so popular,0.8618068,1,0.014123229,70.805336,5.725998732,match_scores,Over It,1
"inform(name[So Good], genres[pop rap], publication_year[2012], instance_of[single], rating[excellent])",inform,So Good is an excellent 2012 pop rap single.,9,,inform,1,5,1,not so popular,0.96651274,1,0.002330915,429.0160828,9.287529,match_scores_PPL,So Good,1
"inform(name[Viva la Vida], genres[baroque pop], rating[excellent], instance_of[single], from_album[Viva la Vida or Death and All His Friends])",inform,Viva la Vida is an excellent baroque pop single from the album Viva la Vida or Death and All His Friends.,21,,inform,1,5,1,popular,0.9681813,1,0.021340747,46.85871506,8.216107325,match_scores_PPL,Viva la Vida,1
"inform(name[Stargazing], genres[tropical house], is_from_album[True], from_album[Stargazing], record_label[Sony Music])",inform,Stargazing is a tropical house song from the album Stargazing by Sony Music.,13,,inform,1,5,1,not so popular,0.90144175,1,0.010004817,99.95185089,6.754312829,match_scores,Stargazing,1
"inform(name[Style], genres[funk], from_album[1989], rating[excellent], instance_of[song])",inform," ""Style"" is an excellent funk song from the 1989 album.",10,,inform,1,5,1,popular,0.8358878,1,0.006927934,144.3431854,3.673526563,match_scores_PPL,Style,1
"inform(name[Stargazing], genres[electronic dance music], is_from_album[True], instance_of[single], record_label[Sony Music])",inform,Stargazing is an electronic dance music single from a Sony Music album.,12,,inform,1,5,1,not so popular,0.8969496,1,0.006161541,162.2970734,6.837203339,match_scores,Stargazing,1
"inform(name[As It Was], genres[new wave], instance_of[single], from_album[Harry's House], rating[excellent])",inform," As It Was is a new wave single from Harry's House, rated excellent.",13,,inform,1,5,1,popular,0.8870458,1,0.002163679,462.1758118,10.51184684,match_scores,As It Was,1
"inform(name[Over It], genres[pop music], rating[good], record_label[Inc.], publication_year[2007])",inform,Over It is a good pop song released by Inc. in 2007.,12,,inform,1,5,1,not so popular,0.7996463,1,0.004793698,208.6072235,8.493098745,match_scores,Over It,1
"inform(name[Anti-Hero], genres[synth-pop], performer[Taylor Swift], instance_of[musical work/composition], record_label[Republic Records])",inform,Anti-Hero is a synth-pop song by Taylor Swift released by Republic Records.,12,,inform,1,5,1,popular,0.82140964,1,0.01509844,66.23200989,9.23843021,match_scores_PPL,Anti-Hero,1
"inform(name[Take My Breath Away], genres[synth-pop], publication_year[1986], is_from_album[True], performer[Berlin])",inform,Take My Breath Away is a synth-pop song from the 1986 album by Berlin.,14,,inform,1,5,1,popular,0.8323827,1,0.011148685,89.69667816,18.20705281,match_scores,Take My Breath Away,1
"inform(name[For a Friend], genres[pop music], publication_year[1988], rating[mediocre], from_album[Red])",inform,For a Friend is a mediocre pop song from the 1988 album Red.,13,,inform,1,5,1,not so popular,0.8430837,1,0.005311686,188.2641296,4.016138436,match_scores_PPL,For a Friend,1
"inform(name[Somebody That I Used to Know], genres[indie pop], rating[excellent], is_from_album[True], producer[Gotye])",inform," Somebody That I Used to Know is an excellent indie pop song produced by Gotye, from an album.",18,,inform,1,5,1,popular,0.6977594,1,0.012346397,80.99529266,13.26475917,match_scores_PPL,Somebody That I Used to Know,1
"inform(name[Wanna Get to Know You], genres[hip hop music], record_label[G-Unit Records], producer[Red Spyda], instance_of[single])",inform,Wanna Get to Know You is a hip hop single on G-Unit Records produced by Red Spyda.,17,,inform,1,5,1,not so popular,0.9048651,1,0.009694906,103.1469498,8.590764836,match_scores,Wanna Get to Know You,1
"inform(name[Apple Shampoo], genres[pop punk], is_from_album[True], record_label[MCA Records], instance_of[musical work/composition])",inform," ""Apple Shampoo"" is a pop punk song from the MCA Records album. It is a musical work/composition.",17,,inform,1,5,1,not so popular,0.8227701,1,0.009746092,102.6052322,3.916449665,match_scores,Apple Shampoo,1
"inform(name[All or Nothing], genres[pop music], instance_of[single], is_from_album[True], performer[Milli Vanilli])",inform," ""All or Nothing"" is a pop music single by Milli Vanilli from an album.",14,,inform,1,5,1,not so popular,0.8332837,1,0.024681027,40.51695251,5.439330544,match_scores_PPL,All or Nothing,1
"inform(name[Poison], genres[dance-pop], from_album[Killer Love], publication_year[2010], rating[excellent])",inform,Poison is an excellent dance-pop song from the 2010 album Killer Love.,12,,inform,1,5,1,not so popular,0.850218,1,0.006045106,165.4230652,7.347053126,match_scores,Poison,1
"inform(name[Wanna Get to Know You], genres[hip hop music], producer[Red Spyda], from_album[Beg for Mercy], publication_year[2004])",inform,Wanna Get to Know You is a hip hop song from the 2004 album Beg for Mercy by Red Spyda.,20,,inform,1,5,1,not so popular,0.88953084,1,0.007848929,127.4059219,6.962249701,match_scores,Wanna Get to Know You,1
"inform(name[I], genres[hip hop music], instance_of[single], record_label[Aftermath Entertainment], producer[Rahki])",inform,I is a hip hop single produced by Rahki for Aftermath Entertainment.,12,,inform,1,5,1,popular,0.87113607,1,0.003543122,282.2369385,7.347053126,match_scores,I,1
"inform(name[Seven Nation Army], genres[garage rock], instance_of[single], producer[Jack White], publication_year[2003])",inform,Seven Nation Army is a 2003 garage rock single produced by Jack White.,13,,inform,1,5,1,popular,0.9563937,1,0.007141223,140.0320282,13.91231164,match_scores_PPL,Seven Nation Army,1
"inform(name[Wanna Get to Know You], genres[hip hop music], rating[good], record_label[G-Unit Records], from_album[Beg for Mercy])",inform,Wanna Get to Know You is a good hip hop song from G-Unit Records' album Beg for Mercy.,18,,inform,1,5,1,not so popular,0.8824603,1,0.009344713,107.0123825,6.585833694,match_scores_PPL,Wanna Get to Know You,1
"inform(name[As It Was], genres[synth-pop], instance_of[single], publication_year[2022], rating[excellent])",inform,As It Was is an excellent synth-pop single from 2022.,10,,inform,1,5,1,popular,0.9475884,1,0.00230478,433.8809204,14.99110695,match_scores_PPL,As It Was,1
"inform(name[I Was Gonna Cancel], genres[synth-pop], from_album[Kiss Me Once], record_label[Parlophone], rating[good])",inform,I Was Gonna Cancel is a good synth-pop song from the Kiss Me Once album by Parlophone.,17,,inform,1,5,1,not so popular,0.8608593,1,0.006914818,144.6169586,20.10537345,match_scores,I Was Gonna Cancel,1
"inform(name[Seven Nation Army], genres[alternative rock], instance_of[single], from_album[Elephant], record_label[XL Recordings])",inform,Seven Nation Army is an alternative rock single released on the album Elephant by XL Recordings.,16,,inform,1,5,1,popular,0.90609294,1,0.006253741,159.9042816,9.672649511,match_scores,Seven Nation Army,1
"inform(name[Viva la Vida], genres[baroque pop], performer[Coldplay], producer[Rik Simpson], from_album[Viva la Vida or Death and All His Friends])",inform,Viva la Vida is a baroque pop song by Coldplay produced by Rik Simpson from the album Viva la Vida or Death and All His Friends.,26,,inform,1,5,1,popular,0.9471475,1,0.021279661,46.99322891,7.911318981,match_scores,Viva la Vida,1
"inform(name[The Way I Are], genres[pop music], from_album[All Your Fault: Pt. 2], instance_of[single], rating[excellent])",inform,The Way I Are is an excellent pop music single from the album All Your Fault: Pt. 2.,18,,inform,1,5,1,not so popular,0.882749,1,0.011020854,90.73706818,39.41004771,match_scores_PPL,The Way I Are,1
"inform(name[Get Up!], genres[nu metal], is_from_album[True], record_label[Roadrunner Records], instance_of[single])",inform,Get Up! is a nu metal single released by Roadrunner Records.,11,,inform,1,5,1,not so popular,0.86673385,1,0.005650256,176.983139,14.45892467,match_scores,Get Up!,1
"inform(name[Cold Heart], genres[disco], publication_year[2021], is_from_album[False], performer[Dua Lipa, Elton John])",inform,Cold Heart is a 2021 disco song performed by Dua Lipa and Elton John.,14,,inform,1,5,1,popular,0.914001,1,0.008348594,119.7806549,9.461202844,match_scores,Cold Heart,1
"inform(name[Sweet Home Alabama], genres[rock music], publication_year[1974], producer[Al Kooper], performer[Lynyrd Skynyrd])",inform,Sweet Home Alabama is a 1974 rock song by Lynyrd Skynyrd and produced by Al Kooper.,16,,inform,1,5,1,popular,0.942046,1,0.026129776,38.27051544,12.93698117,match_scores,Sweet Home Alabama,1
"inform(name[Afterlife], genres[indie rock], performer[Arcade Fire], record_label[Merge Records], rating[good])",inform," Afterlife is a good indie rock song by Arcade Fire, released on Merge Records.",14,,inform,1,5,1,not so popular,0.91304064,1,0.007263872,137.6676331,7.314031827,match_scores,Afterlife,1
"inform(name[Dragostea Din Tei], genres[Eurodance], from_album[DiscO-Zone], publication_year[2003], performer[O-Zone])",inform,Dragostea Din Tei is an Eurodance song by O-Zone from their 2003 album DiscO-Zone.,14,,inform,1,5,1,popular,0.92336833,1,0.002120841,471.5110168,11.63327084,match_scores,Dragostea Din Tei,1
"inform(name[I Still...], genres[pop music], record_label[Jive Records], instance_of[single], from_album[Never Gone])",inform,I Still... is a pop single released by Jive Records from the album Never Gone.,15,,inform,1,5,1,not so popular,0.79031175,1,0.005516739,181.2664948,24.29335519,match_scores,I Still...,1
"inform(name[Stereotypes], genres[Britpop], publication_year[1996], from_album[The Great Escape], instance_of[single])",inform,Stereotypes is a 1996 Britpop single from The Great Escape album.,11,,inform,1,5,1,not so popular,0.90476537,1,0.008022557,124.6485367,14.99110695,match_scores_PPL,Stereotypes,1
"inform(name[Seven Nation Army], genres[garage rock], is_from_album[True], producer[Jack White], publication_year[2003])",inform,Seven Nation Army is a garage rock song from the 2003 album produced by Jack White.,16,,inform,1,5,1,popular,0.8238006,1,0.007691973,130.005661,11.20375434,match_scores,Seven Nation Army,1
"inform(name[Blinding Lights], genres[electropop], from_album[The Weeknd singles discography], producer[Max Martin], performer[The Weeknd])",inform," Blinding Lights is an electropop song from The Weeknd's singles discography, produced by Max Martin and performed by The Weeknd.",20,,inform,1,5,1,popular,0.9068481,1,0.023232714,43.04275513,6.218361043,match_scores,Blinding Lights,1
"inform(name[Take My Breath Away], genres[synth-pop], record_label[Columbia Records], from_album[Top Gun �?Original Motion Picture Soundtrack], instance_of[musical work/composition])",inform,Take My Breath Away is a synth-pop song released by Columbia Records as part of the Top Gun �?Original Motion Picture Soundtrack.,23,,inform,1,5,1,popular,0.87985384,1,0.026836013,37.26335907,36.54749252,match_scores,Take My Breath Away,1
"inform(name[Evolution], genres[nu metal], producer[Atticus Ross], is_from_album[True], record_label[EMI])",inform," Evolution is a nu metal song produced by Atticus Ross, released on an album by EMI.",16,,inform,1,5,1,not so popular,0.7969781,1,0.010215754,97.88802338,4.75362206,match_scores,Evolution,1
"inform(name[Paint It Black], genres[rock music], performer[The Rolling Stones], instance_of[single], from_album[Aftermath])",inform,Paint It Black is a rock music single by The Rolling Stones from the album Aftermath.,16,,inform,1,5,1,popular,0.8951921,1,0.01217974,82.1035614,14.87964117,match_scores_PPL,Paint It Black,1
"inform(name[Space Oddity], genres[space rock], publication_year[1969], performer[David Bowie], from_album[David Bowie])",inform," Space Oddity is a 1969 space rock song by David Bowie, from his album, David Bowie.",16,,inform,1,5,1,popular,0.9323702,1,0.017374486,57.55566025,7.288423075,match_scores,Space Oddity,1
"inform(name[Mr. Brightside], genres[indie rock], is_from_album[True], publication_year[2003], rating[excellent])",inform,Mr. Brightside is an excellent indie rock song from the 2003 album.,12,,inform,1,5,1,popular,0.79506576,1,0.004256705,234.9235077,11.35935489,match_scores_PPL,Mr. Brightside,1
"inform(name[Break My Soul], genres[disco], publication_year[2022], producer[The-Dream], performer[Beyoncé])",inform," Break My Soul is a disco song by The-Dream and Beyoncé, set to be released in 2022.",17,,inform,1,5,1,popular,0.9005414,1,0.011597996,86.22179413,8.96167232,match_scores,Break My Soul,1
"inform(name[Wild], genres[synth-pop], rating[excellent], publication_year[2015], instance_of[single])",inform,Wild is an excellent synth-pop single from 2015.,8,,inform,1,5,1,not so popular,0.94971466,1,0.00646059,154.7846222,5.669791111,match_scores_PPL,Wild,1
"inform(name[Paint It Black], genres[rock music], publication_year[1966], is_from_album[True], instance_of[single])",inform,Paint It Black is a rock music single from the 1966 album.,12,,inform,1,5,1,popular,0.85149544,1,0.006452262,154.9844055,12.35622127,match_scores,Paint It Black,1
"inform(name[Space Oddity], genres[space rock], rating[excellent], publication_year[1969], from_album[David Bowie])",inform,Space Oddity is an excellent space rock song from 1969 by David Bowie.,13,,inform,1,5,1,popular,0.9446389,1,0.01354436,73.83146667,8.493098745,match_scores,Space Oddity,1
"inform(name[I], genres[hip hop music], rating[excellent], record_label[Aftermath Entertainment], instance_of[single])",inform,I is an excellent hip hop music single by Aftermath Entertainment.,11,,inform,1,5,1,popular,0.9612692,1,0.002891013,345.8995667,7.495553473,match_scores,I,1
"inform(name[Marilyn Monroe], genres[funk], performer[Pharrell Williams], instance_of[single], producer[Pharrell Williams])",inform," Marilyn Monroe is a funk single, performed by Pharrell Williams and produced by Pharrell Williams.",15,,inform,1,5,1,not so popular,0.96052533,1,0.024217003,41.29330063,7.922250669,match_scores,Marilyn Monroe,1
"inform(name[The Way I Are], genres[pop music], performer[Bebe Rexha], from_album[All Your Fault: Pt. 2], is_from_album[True])",inform,The Way I Are is a pop music song by Bebe Rexha from the album All Your Fault: Pt. 2.,20,,inform,1,5,1,not so popular,0.8397292,1,0.01832226,54.57841873,38.25188992,match_scores,The Way I Are,1
"inform(name[Hold My Hand], genres[arena rock], rating[good], is_from_album[False], record_label[Interscope Records])",inform,Hold My Hand is a good arena rock song from Interscope Records.,12,,inform,1,5,1,popular,0.86069685,1,0.01085311,92.13948822,14.45892467,match_scores,Hold My Hand,1
"inform(name[Habibi], genres[reggaeton], rating[excellent], instance_of[single], record_label[Sony Music])",inform,Habibi is an excellent reggaeton single by Sony Music.,9,,inform,1,5,1,not so popular,0.97993517,1,0.003392234,294.7909546,9.287529,match_scores,Habibi,1
"inform(name[Careless Whisper], genres[pop music], publication_year[1984], performer[George Michael], producer[George Michael])",inform,Careless Whisper is a pop song from 1984 that was performed by George Michael and produced by George Michael.,19,,inform,1,5,1,popular,0.89559275,1,0.025885471,38.63171005,6.892964966,match_scores,Careless Whisper,1
"inform(name[In My Bed], genres[soul music], record_label[Island Records], publication_year[2004], producer[Salaam Remi])",inform,In My Bed is a 2004 soul music song released by Island Records and produced by Salaam Remi.,18,,inform,1,5,1,not so popular,0.90530664,1,0.007643742,130.8259735,11.45199746,match_scores_PPL,In My Bed,1
"inform(name[Right Here, Right Now], genres[electronic dance music], performer[Giorgio Moroder], rating[good], instance_of[single])",inform," Right Here, Right Now is a good electronic dance music single by Giorgio Moroder.",14,,inform,1,5,1,not so popular,0.9774513,1,0.017340038,57.67000198,26.33201939,match_scores_PPL,"Right Here, Right Now",1
"inform(name[I Was Gonna Cancel], genres[synth-pop], instance_of[musical work/composition], performer[Kylie Minogue], from_album[Kiss Me Once])",inform," I Was Gonna Cancel is a synth-pop musical work/composition by Kylie Minogue, off the album Kiss Me Once.",18,,inform,1,5,1,not so popular,0.9399344,1,0.009758629,102.4734116,17.89417718,match_scores,I Was Gonna Cancel,1
"inform(name[Money, Cash, Hoes], genres[East Coast hip hop], rating[good], record_label[Roc-A-Fella Records], from_album[Vol. 2... Hard Knock Life])",inform," Money, Cash, Hoes is a good East Coast hip hop track from the album Vol. 2... Hard Knock Life by Roc-A-Fella Records.",22,,inform,1,5,1,not so popular,0.9425718,1,0.011960137,83.61108398,43.36599812,match_scores,"Money, Cash, Hoes",1
"inform(name[Wanna Get to Know You], genres[hip hop music], from_album[Beg for Mercy], producer[Red Spyda], rating[good])",inform,Wanna Get to Know You is a good hip hop song from the album Beg for Mercy produced by Red Spyda.,21,,inform,1,5,1,not so popular,0.8656592,1,0.006602436,151.4592438,6.429451441,match_scores,Wanna Get to Know You,1
"inform(name[Take My Breath Away], genres[synth-pop], instance_of[musical work/composition], producer[Giorgio Moroder], publication_year[1986])",inform,Take My Breath Away is a synth-pop musical work/composition produced by Giorgio Moroder in 1986.,15,,inform,1,5,1,popular,0.967772,1,0.018293602,54.66392136,17.18152967,match_scores_PPL,Take My Breath Away,1
"inform(name[All or Nothing], genres[pop music], record_label[Arista Records], instance_of[single], publication_year[1990])",inform,All or Nothing is a 1990 pop music single by Arista Records.,12,,inform,1,5,1,not so popular,0.9739213,1,0.009063393,110.3339539,7.768562846,match_scores_PPL,All or Nothing,1
"inform(name[Bitter Sweet Symphony], genres[alternative rock], is_from_album[True], producer[Youth], record_label[Hut Records])",inform," Bitter Sweet Symphony is an alternative rock song from an album, produced by Youth for Hut Records.",17,,inform,1,5,1,popular,0.82607317,1,0.00416494,240.0994873,9.917720727,match_scores,Bitter Sweet Symphony,1
"inform(name[Wild], genres[synth-pop], rating[excellent], publication_year[2015], record_label[Universal Music Australia])",inform,Wild is an excellent synth-pop song released in 2015 by Universal Music Australia.,13,,inform,1,5,1,not so popular,0.92274415,1,0.008533214,117.1891327,12.01105543,match_scores_PPL,Wild,1
"inform(name[Break My Soul], genres[dance-pop], from_album[Renaissance], publication_year[2022], is_from_album[True])",inform,Break My Soul is a dance-pop song from the 2022 album Renaissance.,12,,inform,1,5,1,popular,0.84165555,1,0.003091753,323.4410706,13.0651133,match_scores,Break My Soul,1
"inform(name[Careless Whisper], genres[pop music], publication_year[1984], performer[George Michael], record_label[Columbia Records])",inform," Careless Whisper is a 1984 pop song by George Michael, released by Columbia Records.",14,,inform,1,5,1,popular,0.91740435,1,0.016551828,60.41628647,8.80464134,match_scores_PPL,Careless Whisper,1
"inform(name[Pumped Up Kicks], genres[pop rock], from_album[Torches], instance_of[single], is_from_album[True])",inform,Pumped Up Kicks is a pop rock single off the album Torches.,12,,inform,1,5,1,popular,0.8179555,1,0.007030292,142.2416077,12.35622127,match_scores,Pumped Up Kicks,1
"inform(name[Afterlife], genres[indie rock], performer[Arcade Fire], rating[good], instance_of[song])",inform,Afterlife is a good indie rock song by Arcade Fire.,10,,inform,1,5,1,not so popular,0.96722925,1,0.005454326,183.3407135,8.295193507,match_scores_PPL,Afterlife,1
"inform(name[For a Friend], genres[pop music], producer[Stephen Hague], publication_year[1988], record_label[London])",inform,For a Friend is a pop music song released in 1988 by Stephen Hague and London Records.,17,,inform,1,5,1,not so popular,0.8923625,1,0.005645031,177.1469421,5.653041176,match_scores,For a Friend,1
"inform(name[Evolution], genres[nu metal], instance_of[single], is_from_album[True], performer[Korn])",inform," Evolution is a nu metal single by Korn, from the album.",11,,inform,1,5,1,not so popular,0.82049406,1,0.003275023,305.3413391,3.673526563,match_scores,Evolution,1
"inform(name[Space Oddity], genres[space rock], is_from_album[True], instance_of[single], publication_year[1969])",inform,Space Oddity is a 1969 space rock single from an album.,11,,inform,1,5,1,popular,0.8459497,1,0.006341459,157.6924286,7.495553473,match_scores_PPL,Space Oddity,1
